Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-05-03 11:21:13 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Experiments\Narges\2019-05-01_121857-IPS CONTROL LINE FINAL PLEURIPOTENCY.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,2019-05-01_121857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-05-01 14:04:07 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative C? (??C?) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudioô 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD
1,A1,FALSE,H9,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1,0.713,1.402,27.978,28.243,0.237,,-4.308,0.357,0.206,0,TRUE,0.296,TRUE,3,20,Amp,,0.958,N,N,N
2,A2,FALSE,H9,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1,0.713,1.402,28.319,28.243,0.237,,-4.308,0.357,0.206,0,TRUE,0.296,TRUE,3,24,Amp,,0.964,N,N,N
3,A3,FALSE,H9,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,1,0.713,1.402,28.433,28.243,0.237,,-4.308,0.357,0.206,0,TRUE,0.296,TRUE,3,22,Amp,,0.957,N,N,N
4,A4,FALSE,AJC,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.295,0.233,0.372,27.951,27.979,0.025,,-2.545,0.247,0.143,1.763,TRUE,0.296,TRUE,3,23,Amp,,0.927,N,N,N
5,A5,FALSE,AJC,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.295,0.233,0.372,27.985,27.979,0.025,,-2.545,0.247,0.143,1.763,TRUE,0.296,TRUE,3,22,Amp,,0.921,N,N,N
6,A6,FALSE,AJC,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.295,0.233,0.372,27.999,27.979,0.025,,-2.545,0.247,0.143,1.763,TRUE,0.296,TRUE,3,23,Amp,,0.913,N,N,N
7,A7,FALSE,AJD,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.064,0.052,0.079,28.109,28.078,0.075,,-0.348,0.216,0.125,3.96,TRUE,0.296,TRUE,3,22,Amp,,0.906,N,N,N
8,A8,FALSE,AJD,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.064,0.052,0.079,27.992,28.078,0.075,,-0.348,0.216,0.125,3.96,TRUE,0.296,TRUE,3,21,Amp,,0.917,N,N,N
9,A9,FALSE,AJD,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.064,0.052,0.079,28.132,28.078,0.075,,-0.348,0.216,0.125,3.96,TRUE,0.296,TRUE,3,22,Amp,,0.953,N,N,N
10,A10,FALSE,AJG,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.23,0.208,0.255,29.508,29.542,0.039,,-2.189,0.108,0.062,2.119,TRUE,0.296,TRUE,3,23,Amp,,0.942,N,N,N
11,A11,FALSE,AJG,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.23,0.208,0.255,29.585,29.542,0.039,,-2.189,0.108,0.062,2.119,TRUE,0.296,TRUE,3,24,Amp,,0.944,N,N,N
12,A12,FALSE,AJG,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.23,0.208,0.255,29.534,29.542,0.039,,-2.189,0.108,0.062,2.119,TRUE,0.296,TRUE,3,24,Amp,,0.924,N,N,N
13,A13,FALSE,TD02,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.924,0.728,1.172,26.808,26.62,0.167,,-4.193,0.251,0.145,0.115,TRUE,0.296,TRUE,3,20,Amp,,0.87,N,N,N
14,A14,FALSE,TD02,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.924,0.728,1.172,26.563,26.62,0.167,,-4.193,0.251,0.145,0.115,TRUE,0.296,TRUE,3,20,Amp,,0.856,N,N,N
15,A15,FALSE,TD02,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.924,0.728,1.172,26.49,26.62,0.167,,-4.193,0.251,0.145,0.115,TRUE,0.296,TRUE,3,21,Amp,,0.902,N,N,N
16,A16,FALSE,TD03,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.64,0.424,0.967,28.257,28.246,0.122,,-3.664,0.436,0.252,0.643,TRUE,0.296,TRUE,3,22,Amp,,0.887,N,N,N
17,A17,FALSE,TD03,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.64,0.424,0.967,28.361,28.246,0.122,,-3.664,0.436,0.252,0.643,TRUE,0.296,TRUE,3,23,Amp,,0.879,N,N,N
18,A18,FALSE,TD03,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.64,0.424,0.967,28.119,28.246,0.122,,-3.664,0.436,0.252,0.643,TRUE,0.296,TRUE,3,23,Amp,,0.855,N,N,N
19,A19,FALSE,TD10,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.041,0.036,0.046,24.137,24.045,0.087,,0.31,0.136,0.079,4.618,TRUE,0.296,TRUE,3,19,Amp,,0.849,N,N,N
20,A20,FALSE,TD10,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.041,0.036,0.046,24.037,24.045,0.087,,0.31,0.136,0.079,4.618,TRUE,0.296,TRUE,3,19,Amp,,0.868,N,N,N
21,A21,FALSE,TD10,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.041,0.036,0.046,23.962,24.045,0.087,,0.31,0.136,0.079,4.618,TRUE,0.296,TRUE,3,18,Amp,,0.879,N,N,N
22,A22,FALSE,TD22,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.046,0.038,0.057,24.11,24.133,0.032,,0.125,0.213,0.123,4.433,TRUE,0.296,TRUE,3,18,Amp,,0.856,N,N,N
23,A23,FALSE,TD22,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.046,0.038,0.057,24.118,24.133,0.032,,0.125,0.213,0.123,4.433,TRUE,0.296,TRUE,3,19,Amp,,0.854,N,N,N
24,A24,FALSE,TD22,NANOG,UNKNOWN,FAM,NFQ-MGB,,,,0.046,0.038,0.057,24.169,24.133,0.032,,0.125,0.213,0.123,4.433,TRUE,0.296,TRUE,3,19,Amp,,0.843,N,N,N
25,B1,FALSE,H9,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1,0.719,1.391,32.031,32.284,0.223,,-0.267,0.349,0.201,0,TRUE,0.337,TRUE,3,26,Amp,,0.935,N,N,N
26,B2,FALSE,H9,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1,0.719,1.391,32.454,32.284,0.223,,-0.267,0.349,0.201,0,TRUE,0.337,TRUE,3,26,Amp,,0.846,N,N,N
27,B3,FALSE,H9,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1,0.719,1.391,32.368,32.284,0.223,,-0.267,0.349,0.201,0,TRUE,0.337,TRUE,3,26,Amp,,0.868,N,N,N
28,B4,FALSE,AJC,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.294,0.998,1.679,30.024,29.884,0.122,,-0.639,0.275,0.159,-0.372,TRUE,0.337,TRUE,3,24,Amp,,0.886,N,N,N
29,B5,FALSE,AJC,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.294,0.998,1.679,29.831,29.884,0.122,,-0.639,0.275,0.159,-0.372,TRUE,0.337,TRUE,3,24,Amp,,0.87,N,N,N
30,B6,FALSE,AJC,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.294,0.998,1.679,29.798,29.884,0.122,,-0.639,0.275,0.159,-0.372,TRUE,0.337,TRUE,3,23,Amp,,0.868,N,N,N
31,B7,FALSE,AJD,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.524,0.429,0.641,29.017,29.091,0.065,,0.665,0.213,0.123,0.932,TRUE,0.337,TRUE,3,24,Amp,,0.88,N,N,N
32,B8,FALSE,AJD,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.524,0.429,0.641,29.113,29.091,0.065,,0.665,0.213,0.123,0.932,TRUE,0.337,TRUE,3,23,Amp,,0.868,N,N,N
33,B9,FALSE,AJD,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.524,0.429,0.641,29.142,29.091,0.065,,0.665,0.213,0.123,0.932,TRUE,0.337,TRUE,3,23,Amp,,0.886,N,N,N
34,B10,FALSE,AJG,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.423,0.361,0.495,32.554,32.706,0.133,,0.975,0.167,0.097,1.242,TRUE,0.337,TRUE,3,26,Amp,,0.826,N,N,N
35,B11,FALSE,AJG,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.423,0.361,0.495,32.761,32.706,0.133,,0.975,0.167,0.097,1.242,TRUE,0.337,TRUE,3,26,Amp,,0.856,N,N,N
36,B12,FALSE,AJG,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.423,0.361,0.495,32.804,32.706,0.133,,0.975,0.167,0.097,1.242,TRUE,0.337,TRUE,3,26,Amp,,0.843,N,N,N
37,B13,FALSE,TD02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.1,0.773,1.566,30.78,30.409,0.322,,-0.405,0.373,0.215,-0.138,TRUE,0.337,TRUE,3,25,Amp,,0.894,N,N,N
38,B14,FALSE,TD02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.1,0.773,1.566,30.243,30.409,0.322,,-0.405,0.373,0.215,-0.138,TRUE,0.337,TRUE,3,24,Amp,,0.835,N,N,N
39,B15,FALSE,TD02,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.1,0.773,1.566,30.203,30.409,0.322,,-0.405,0.373,0.215,-0.138,TRUE,0.337,TRUE,3,24,Amp,,0.841,N,N,N
40,B16,FALSE,TD03,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.223,0.781,1.914,31.455,31.353,0.221,,-0.557,0.473,0.273,-0.29,TRUE,0.337,TRUE,3,25,Amp,,0.843,N,N,N
41,B17,FALSE,TD03,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.223,0.781,1.914,31.504,31.353,0.221,,-0.557,0.473,0.273,-0.29,TRUE,0.337,TRUE,3,25,Amp,,0.841,N,N,N
42,B18,FALSE,TD03,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.223,0.781,1.914,31.1,31.353,0.221,,-0.557,0.473,0.273,-0.29,TRUE,0.337,TRUE,3,26,Amp,,0.855,N,N,N
43,B19,FALSE,TD10,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.987,0.842,1.156,23.337,23.488,0.131,,-0.248,0.168,0.097,0.019,TRUE,0.337,TRUE,3,17,Amp,,0.916,N,N,N
44,B20,FALSE,TD10,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.987,0.842,1.156,23.548,23.488,0.131,,-0.248,0.168,0.097,0.019,TRUE,0.337,TRUE,3,17,Amp,,0.869,N,N,N
45,B21,FALSE,TD10,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,0.987,0.842,1.156,23.578,23.488,0.131,,-0.248,0.168,0.097,0.019,TRUE,0.337,TRUE,3,17,Amp,,0.85,N,N,N
46,B22,FALSE,TD22,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.198,0.978,1.466,23.477,23.48,0.037,,-0.527,0.214,0.123,-0.26,TRUE,0.337,TRUE,3,17,Amp,,0.863,N,N,N
47,B23,FALSE,TD22,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.198,0.978,1.466,23.519,23.48,0.037,,-0.527,0.214,0.123,-0.26,TRUE,0.337,TRUE,3,18,Amp,,0.855,N,N,N
48,B24,FALSE,TD22,C-MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.198,0.978,1.466,23.444,23.48,0.037,,-0.527,0.214,0.123,-0.26,TRUE,0.337,TRUE,3,18,Amp,,0.862,N,N,N
49,C1,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1,0.767,1.304,28.838,28.931,0.083,,-3.62,0.28,0.162,0,TRUE,0.243,TRUE,3,23,Amp,,0.915,N,N,N
50,C2,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1,0.767,1.304,28.998,28.931,0.083,,-3.62,0.28,0.162,0,TRUE,0.243,TRUE,3,22,Amp,,0.872,N,N,N
51,C3,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1,0.767,1.304,28.958,28.931,0.083,,-3.62,0.28,0.162,0,TRUE,0.243,TRUE,3,23,Amp,,0.884,N,N,N
52,C4,FALSE,AJC,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.579,0.454,0.738,27.778,27.692,0.074,,-2.831,0.257,0.148,0.789,TRUE,0.243,TRUE,3,21,Amp,,0.893,N,N,N
53,C5,FALSE,AJC,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.579,0.454,0.738,27.649,27.692,0.074,,-2.831,0.257,0.148,0.789,TRUE,0.243,TRUE,3,21,Amp,,0.882,N,N,N
54,C6,FALSE,AJC,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.579,0.454,0.738,27.65,27.692,0.074,,-2.831,0.257,0.148,0.789,TRUE,0.243,TRUE,3,22,Amp,,0.906,N,N,N
55,C7,FALSE,AJD,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.075,0.061,0.091,28.593,28.551,0.049,,0.125,0.208,0.12,3.745,TRUE,0.243,TRUE,3,22,Amp,,0.9,N,N,N
56,C8,FALSE,AJD,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.075,0.061,0.091,28.562,28.551,0.049,,0.125,0.208,0.12,3.745,TRUE,0.243,TRUE,3,23,Amp,,0.902,N,N,N
57,C9,FALSE,AJD,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.075,0.061,0.091,28.497,28.551,0.049,,0.125,0.208,0.12,3.745,TRUE,0.243,TRUE,3,23,Amp,,0.912,N,N,N
58,C10,FALSE,AJG,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.97,0.845,1.112,28.085,28.156,0.104,,-3.576,0.145,0.084,0.044,TRUE,0.243,TRUE,3,23,Amp,,0.905,N,N,N
59,C11,FALSE,AJG,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.97,0.845,1.112,28.275,28.156,0.104,,-3.576,0.145,0.084,0.044,TRUE,0.243,TRUE,3,23,Amp,,0.911,N,N,N
60,C12,FALSE,AJG,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.97,0.845,1.112,28.108,28.156,0.104,,-3.576,0.145,0.084,0.044,TRUE,0.243,TRUE,3,22,Amp,,0.919,N,N,N
61,C13,FALSE,TD02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.386,0.313,0.477,28.692,28.566,0.118,,-2.248,0.222,0.128,1.372,TRUE,0.243,TRUE,3,21,Amp,,0.927,N,N,N
62,C14,FALSE,TD02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.386,0.313,0.477,28.458,28.566,0.118,,-2.248,0.222,0.128,1.372,TRUE,0.243,TRUE,3,22,Amp,,0.901,N,N,N
63,C15,FALSE,TD02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.386,0.313,0.477,28.548,28.566,0.118,,-2.248,0.222,0.128,1.372,TRUE,0.243,TRUE,3,23,Amp,,0.891,N,N,N
64,C16,FALSE,TD03,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.183,0.79,1.77,28.123,28.048,0.077,,-3.862,0.426,0.246,-0.242,TRUE,0.243,TRUE,3,20,Amp,,0.897,N,N,N
65,C17,FALSE,TD03,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.183,0.79,1.77,28.053,28.048,0.077,,-3.862,0.426,0.246,-0.242,TRUE,0.243,TRUE,3,23,Amp,,0.907,N,N,N
66,C18,FALSE,TD03,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.183,0.79,1.77,27.969,28.048,0.077,,-3.862,0.426,0.246,-0.242,TRUE,0.243,TRUE,3,23,Amp,,0.884,N,N,N
67,C19,FALSE,TD10,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.076,0.068,0.086,23.899,23.829,0.066,,0.093,0.124,0.071,3.713,TRUE,0.243,TRUE,3,18,Amp,,0.891,N,N,N
68,C20,FALSE,TD10,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.076,0.068,0.086,23.82,23.829,0.066,,0.093,0.124,0.071,3.713,TRUE,0.243,TRUE,3,19,Amp,,0.873,N,N,N
69,C21,FALSE,TD10,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.076,0.068,0.086,23.767,23.829,0.066,,0.093,0.124,0.071,3.713,TRUE,0.243,TRUE,3,19,Amp,,0.882,N,N,N
70,C22,FALSE,TD22,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.03,0.024,0.037,25.532,25.462,0.075,,1.454,0.223,0.129,5.074,TRUE,0.243,TRUE,3,20,Amp,,0.848,N,N,N
71,C23,FALSE,TD22,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.03,0.024,0.037,25.47,25.462,0.075,,1.454,0.223,0.129,5.074,TRUE,0.243,TRUE,3,20,Amp,,0.862,N,N,N
72,C24,FALSE,TD22,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.03,0.024,0.037,25.383,25.462,0.075,,1.454,0.223,0.129,5.074,TRUE,0.243,TRUE,3,20,Amp,,0.875,N,N,N
73,D1,FALSE,H9,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1,0.767,1.303,30.102,30.103,0.083,,-2.448,0.28,0.162,0,TRUE,0.208,TRUE,3,25,Amp,,0.914,N,N,N
74,D2,FALSE,H9,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1,0.767,1.303,30.021,30.103,0.083,,-2.448,0.28,0.162,0,TRUE,0.208,TRUE,3,24,Amp,,0.871,N,N,N
75,D3,FALSE,H9,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1,0.767,1.303,30.186,30.103,0.083,,-2.448,0.28,0.162,0,TRUE,0.208,TRUE,3,24,Amp,,0.895,N,N,N
