Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,D4,FALSE,AJC,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.431,0.338,0.55,29.369,29.289,0.073,,-1.235,0.257,0.148,1.214,TRUE,0.208,TRUE,3,24,Amp,,0.872,N,N,N
77,D5,FALSE,AJC,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.431,0.338,0.55,29.274,29.289,0.073,,-1.235,0.257,0.148,1.214,TRUE,0.208,TRUE,3,23,Amp,,0.912,N,N,N
78,D6,FALSE,AJC,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.431,0.338,0.55,29.225,29.289,0.073,,-1.235,0.257,0.148,1.214,TRUE,0.208,TRUE,3,23,Amp,,0.914,N,N,N
79,D7,FALSE,AJD,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.088,0.072,0.107,29.502,29.491,0.069,,1.065,0.214,0.123,3.513,TRUE,0.208,TRUE,3,24,Amp,,0.872,N,N,N
80,D8,FALSE,AJD,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.088,0.072,0.107,29.554,29.491,0.069,,1.065,0.214,0.123,3.513,TRUE,0.208,TRUE,3,23,Amp,,0.904,N,N,N
81,D9,FALSE,AJD,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.088,0.072,0.107,29.417,29.491,0.069,,1.065,0.214,0.123,3.513,TRUE,0.208,TRUE,3,24,Amp,,0.979,N,N,N
82,D10,FALSE,AJG,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.958,0.785,1.169,29.502,29.345,0.185,,-2.386,0.211,0.122,0.062,TRUE,0.208,TRUE,3,23,Amp,,0.915,N,N,N
83,D11,FALSE,AJG,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.958,0.785,1.169,29.392,29.345,0.185,,-2.386,0.211,0.122,0.062,TRUE,0.208,TRUE,3,23,Amp,,0.917,N,N,N
84,D12,FALSE,AJG,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.958,0.785,1.169,29.142,29.345,0.185,,-2.386,0.211,0.122,0.062,TRUE,0.208,TRUE,3,24,Amp,,0.925,N,N,N
85,D13,FALSE,TD02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.519,0.422,0.638,29.427,29.312,0.11,,-1.501,0.218,0.126,0.947,TRUE,0.208,TRUE,3,24,Amp,,0.885,N,N,N
86,D14,FALSE,TD02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.519,0.422,0.638,29.207,29.312,0.11,,-1.501,0.218,0.126,0.947,TRUE,0.208,TRUE,3,24,Amp,,0.933,N,N,N
87,D15,FALSE,TD02,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.519,0.422,0.638,29.303,29.312,0.11,,-1.501,0.218,0.126,0.947,TRUE,0.208,TRUE,3,23,Amp,,0.912,N,N,N
88,D16,FALSE,TD03,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.501,1.009,2.233,28.859,28.876,0.026,,-3.035,0.42,0.242,-0.586,TRUE,0.208,TRUE,3,24,Amp,,0.913,N,N,N
89,D17,FALSE,TD03,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.501,1.009,2.233,28.906,28.876,0.026,,-3.035,0.42,0.242,-0.586,TRUE,0.208,TRUE,3,23,Amp,,0.861,N,N,N
90,D18,FALSE,TD03,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,1.501,1.009,2.233,28.862,28.876,0.026,,-3.035,0.42,0.242,-0.586,TRUE,0.208,TRUE,3,23,Amp,,0.88,N,N,N
91,D19,FALSE,TD10,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.196,0.165,0.233,23.801,23.635,0.148,,-0.101,0.181,0.105,2.348,TRUE,0.208,TRUE,3,18,Amp,,0.899,N,N,N
92,D20,FALSE,TD10,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.196,0.165,0.233,23.514,23.635,0.148,,-0.101,0.181,0.105,2.348,TRUE,0.208,TRUE,3,17,Amp,,0.844,N,N,N
93,D21,FALSE,TD10,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.196,0.165,0.233,23.59,23.635,0.148,,-0.101,0.181,0.105,2.348,TRUE,0.208,TRUE,3,19,Amp,,0.883,N,N,N
94,D22,FALSE,TD22,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.093,0.075,0.114,25.071,24.992,0.068,,0.985,0.221,0.128,3.433,TRUE,0.208,TRUE,3,19,Amp,,0.885,N,N,N
95,D23,FALSE,TD22,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.093,0.075,0.114,24.948,24.992,0.068,,0.985,0.221,0.128,3.433,TRUE,0.208,TRUE,3,20,Amp,,0.872,N,N,N
96,D24,FALSE,TD22,SOX2,UNKNOWN,FAM,NFQ-MGB,,,,0.093,0.075,0.114,24.959,24.992,0.068,,0.985,0.221,0.128,3.433,TRUE,0.208,TRUE,3,21,Amp,,0.89,N,N,N
97,E1,FALSE,H9,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1,0.646,1.548,25.497,25.566,0.376,,-6.985,0.461,0.266,0,TRUE,0.26,TRUE,3,20,Amp,,0.728,Y,N,N
98,E2,FALSE,H9,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1,0.646,1.548,25.972,25.566,0.376,,-6.985,0.461,0.266,0,TRUE,0.26,TRUE,3,20,Amp,,0.742,Y,N,N
99,E3,FALSE,H9,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1,0.646,1.548,25.23,25.566,0.376,,-6.985,0.461,0.266,0,TRUE,0.26,TRUE,3,18,Amp,,0.813,N,N,N
100,E4,FALSE,AJC,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.219,0.173,0.277,25.707,25.731,0.035,,-4.793,0.249,0.144,2.193,TRUE,0.26,TRUE,3,19,Amp,,0.811,N,N,N
101,E5,FALSE,AJC,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.219,0.173,0.277,25.715,25.731,0.035,,-4.793,0.249,0.144,2.193,TRUE,0.26,TRUE,3,20,Amp,,0.805,N,N,N
102,E6,FALSE,AJC,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.219,0.173,0.277,25.771,25.731,0.035,,-4.793,0.249,0.144,2.193,TRUE,0.26,TRUE,3,21,Amp,,0.843,N,N,N
103,E7,FALSE,AJD,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.01,0.007,0.014,28.352,28.054,0.283,,-0.372,0.348,0.201,6.613,TRUE,0.26,TRUE,3,23,Amp,,0.821,N,N,N
104,E8,FALSE,AJD,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.01,0.007,0.014,28.022,28.054,0.283,,-0.372,0.348,0.201,6.613,TRUE,0.26,TRUE,3,24,Amp,,0.79,Y,N,N
105,E9,FALSE,AJD,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.01,0.007,0.014,27.788,28.054,0.283,,-0.372,0.348,0.201,6.613,TRUE,0.26,TRUE,3,23,Amp,,0.793,Y,N,N
106,E10,FALSE,AJG,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.614,0.542,0.697,25.404,25.449,0.086,,-6.282,0.133,0.077,0.703,TRUE,0.26,TRUE,3,19,Amp,,0.816,N,N,N
107,E11,FALSE,AJG,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.614,0.542,0.697,25.395,25.449,0.086,,-6.282,0.133,0.077,0.703,TRUE,0.26,TRUE,3,19,Amp,,0.763,Y,N,N
108,E12,FALSE,AJG,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.614,0.542,0.697,25.549,25.449,0.086,,-6.282,0.133,0.077,0.703,TRUE,0.26,TRUE,3,21,Amp,,0.824,N,N,N
109,E13,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.314,0.25,0.396,25.675,25.498,0.154,,-5.315,0.243,0.14,1.67,TRUE,0.26,TRUE,3,21,Amp,,0.897,N,N,N
110,E14,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.314,0.25,0.396,25.392,25.498,0.154,,-5.315,0.243,0.14,1.67,TRUE,0.26,TRUE,3,21,Amp,,0.899,N,N,N
111,E15,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.314,0.25,0.396,25.428,25.498,0.154,,-5.315,0.243,0.14,1.67,TRUE,0.26,TRUE,3,21,Amp,,0.894,N,N,N
112,E16,FALSE,TD03,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.589,0.395,0.877,25.731,25.69,0.042,,-6.22,0.421,0.243,0.765,TRUE,0.26,TRUE,3,21,Amp,,0.827,N,N,N
113,E17,FALSE,TD03,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.589,0.395,0.877,25.646,25.69,0.042,,-6.22,0.421,0.243,0.765,TRUE,0.26,TRUE,3,19,Amp,,0.794,Y,N,N
114,E18,FALSE,TD03,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.589,0.395,0.877,25.692,25.69,0.042,,-6.22,0.421,0.243,0.765,TRUE,0.26,TRUE,3,20,Amp,,0.786,Y,N,N
115,E19,FALSE,TD10,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.057,0.049,0.066,20.84,20.876,0.116,,-2.86,0.156,0.09,4.125,TRUE,0.26,TRUE,3,16,Amp,,0.815,N,N,N
116,E20,FALSE,TD10,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.057,0.049,0.066,20.782,20.876,0.116,,-2.86,0.156,0.09,4.125,TRUE,0.26,TRUE,3,15,Amp,,0.795,Y,N,N
117,E21,FALSE,TD10,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.057,0.049,0.066,21.005,20.876,0.116,,-2.86,0.156,0.09,4.125,TRUE,0.26,TRUE,3,16,Amp,,0.809,N,N,N
118,E22,FALSE,TD22,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.038,0.03,0.049,21.89,21.726,0.143,,-2.282,0.255,0.147,4.703,TRUE,0.26,TRUE,3,16,Amp,,0.803,N,N,N
119,E23,FALSE,TD22,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.038,0.03,0.049,21.656,21.726,0.143,,-2.282,0.255,0.147,4.703,TRUE,0.26,TRUE,3,16,Amp,,0.732,Y,N,N
120,E24,FALSE,TD22,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.038,0.03,0.049,21.63,21.726,0.143,,-2.282,0.255,0.147,4.703,TRUE,0.26,TRUE,3,15,Amp,,0.839,N,N,N
121,F1,FALSE,H9,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.359,34.685,0.317,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.825,N,N,N
122,F2,FALSE,H9,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.991,34.685,0.317,,,,,,TRUE,0.097,TRUE,3,30,Amp,,0.851,N,N,N
123,F3,FALSE,H9,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.704,34.685,0.317,,,,,,TRUE,0.097,TRUE,3,30,Amp,,0.734,Y,N,N
124,F4,FALSE,AJC,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.469,32.431,0.339,,,,,,TRUE,0.097,TRUE,3,28,Amp,,0.842,N,N,N
125,F5,FALSE,AJC,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.748,32.431,0.339,,,,,,TRUE,0.097,TRUE,3,28,Amp,,0.819,N,N,N
126,F6,FALSE,AJC,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.074,32.431,0.339,,,,,,TRUE,0.097,TRUE,3,27,Amp,,0.828,N,N,N
127,F7,FALSE,AJD,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.375,28.135,0.211,,,,,,TRUE,0.097,TRUE,3,24,Amp,,0.895,N,N,N
128,F8,FALSE,AJD,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.056,28.135,0.211,,,,,,TRUE,0.097,TRUE,3,23,Amp,,0.89,N,N,N
129,F9,FALSE,AJD,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,27.975,28.135,0.211,,,,,,TRUE,0.097,TRUE,3,23,Amp,,0.845,N,N,N
130,F10,FALSE,AJG,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.623,33.596,0.092,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.849,N,N,N
131,F11,FALSE,AJG,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.494,33.596,0.092,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.923,N,N,N
132,F12,FALSE,AJG,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.672,33.596,0.092,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.881,N,N,N
133,F13,FALSE,TD02,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.453,32.353,0.238,,,,,,TRUE,0.097,TRUE,3,28,Amp,,0.936,N,N,N
134,F14,FALSE,TD02,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.525,32.353,0.238,,,,,,TRUE,0.097,TRUE,3,28,Amp,,0.917,N,N,N
135,F15,FALSE,TD02,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,32.082,32.353,0.238,,,,,,TRUE,0.097,TRUE,3,27,Amp,,0.912,N,N,N
136,F16,FALSE,TD03,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.727,34.291,0.53,,,,,,TRUE,0.097,TRUE,3,30,Amp,,0.8,N,N,Y
137,F17,FALSE,TD03,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,34.445,34.291,0.53,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.728,Y,N,Y
138,F18,FALSE,TD03,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,33.702,34.291,0.53,,,,,,TRUE,0.097,TRUE,3,29,Amp,,0.755,Y,N,Y
139,F19,FALSE,TD10,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.454,22.381,0.083,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.714,Y,N,N
140,F20,FALSE,TD10,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.397,22.381,0.083,,,,,,TRUE,0.097,TRUE,3,17,Amp,,0.698,Y,N,N
141,F21,FALSE,TD10,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.291,22.381,0.083,,,,,,TRUE,0.097,TRUE,3,17,Amp,,0.685,Y,N,N
142,F22,FALSE,TD22,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,23.177,22.959,0.189,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.757,Y,N,N
143,F23,FALSE,TD22,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.85,22.959,0.189,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.725,Y,N,N
144,F24,FALSE,TD22,GAPDH2,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.849,22.959,0.189,,,,,,TRUE,0.097,TRUE,3,18,Amp,,0.751,Y,N,N
145,G1,FALSE,H9,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1,0.44,2.275,36.985,36.426,0.826,,3.874,0.868,0.501,0,TRUE,0.058,TRUE,3,33,Amp,,0.642,Y,N,Y
146,G2,FALSE,H9,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1,0.44,2.275,35.477,36.426,0.826,,3.874,0.868,0.501,0,TRUE,0.058,TRUE,3,31,Amp,,0.664,Y,N,Y
147,G3,FALSE,H9,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1,0.44,2.275,36.816,36.426,0.826,,3.874,0.868,0.501,0,TRUE,0.058,TRUE,3,33,Inconclusive,,0.692,Y,N,Y
148,G4,FALSE,AJC,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.576,1.099,2.26,33.622,33.742,0.291,,3.218,0.381,0.22,-0.656,TRUE,0.058,TRUE,3,30,Amp,,0.808,N,N,N
149,G5,FALSE,AJC,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.576,1.099,2.26,34.073,33.742,0.291,,3.218,0.381,0.22,-0.656,TRUE,0.058,TRUE,3,30,Amp,,0.743,Y,N,N
150,G6,FALSE,AJC,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.576,1.099,2.26,33.53,33.742,0.291,,3.218,0.381,0.22,-0.656,TRUE,0.058,TRUE,3,30,Amp,,0.78,Y,N,N
151,G7,FALSE,AJD,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,8.948,7.332,10.92,29.079,29.139,0.058,,0.713,0.211,0.122,-3.162,TRUE,0.058,TRUE,3,25,Amp,,0.832,N,N,N
152,G8,FALSE,AJD,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,8.948,7.332,10.92,29.142,29.139,0.058,,0.713,0.211,0.122,-3.162,TRUE,0.058,TRUE,3,25,Amp,,0.828,N,N,N
153,G9,FALSE,AJD,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,8.948,7.332,10.92,29.196,29.139,0.058,,0.713,0.211,0.122,-3.162,TRUE,0.058,TRUE,3,26,Amp,,0.819,N,N,N
154,G10,FALSE,AJG,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.561,1.068,2.281,34.859,34.964,0.388,,3.232,0.401,0.231,-0.642,TRUE,0.058,TRUE,3,31,Amp,,0.784,Y,N,N
155,G11,FALSE,AJG,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.561,1.068,2.281,35.393,34.964,0.388,,3.232,0.401,0.231,-0.642,TRUE,0.058,TRUE,3,31,Amp,,0.703,Y,N,N
156,G12,FALSE,AJG,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,1.561,1.068,2.281,34.639,34.964,0.388,,3.232,0.401,0.231,-0.642,TRUE,0.058,TRUE,3,31,Amp,,0.748,Y,N,N
157,G13,FALSE,TD02,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,3.29,2.737,3.954,32.918,32.97,0.049,,2.157,0.194,0.112,-1.718,TRUE,0.058,TRUE,3,29,Amp,,0.79,Y,N,N
158,G14,FALSE,TD02,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,3.29,2.737,3.954,33.014,32.97,0.049,,2.157,0.194,0.112,-1.718,TRUE,0.058,TRUE,3,29,Amp,,0.859,N,N,N
159,G15,FALSE,TD02,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,3.29,2.737,3.954,32.978,32.97,0.049,,2.157,0.194,0.112,-1.718,TRUE,0.058,TRUE,3,29,Amp,,0.875,N,N,N
160,G16,FALSE,TD03,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,2.207,0.977,4.986,34.108,34.642,0.752,,2.732,0.861,0.497,-1.142,TRUE,0.058,TRUE,3,30,Amp,,0.795,Y,N,Y
161,G17,FALSE,TD03,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,2.207,0.977,4.986,35.503,34.642,0.752,,2.732,0.861,0.497,-1.142,TRUE,0.058,TRUE,3,31,Amp,,0.705,Y,N,Y
162,G18,FALSE,TD03,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,2.207,0.977,4.986,34.316,34.642,0.752,,2.732,0.861,0.497,-1.142,TRUE,0.058,TRUE,3,30,Amp,,0.696,Y,N,Y
163,G19,FALSE,TD10,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,17.465,15.05,20.266,23.499,23.484,0.118,,-0.252,0.157,0.091,-4.126,TRUE,0.058,TRUE,3,19,Amp,,0.665,Y,N,N
164,G20,FALSE,TD10,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,17.465,15.05,20.266,23.359,23.484,0.118,,-0.252,0.157,0.091,-4.126,TRUE,0.058,TRUE,3,19,Amp,,0.665,Y,N,N
165,G21,FALSE,TD10,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,17.465,15.05,20.266,23.593,23.484,0.118,,-0.252,0.157,0.091,-4.126,TRUE,0.058,TRUE,3,20,Amp,,0.735,Y,N,N
166,G22,FALSE,TD22,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,13.82,10.912,17.504,24.246,24.093,0.135,,0.086,0.25,0.144,-3.789,TRUE,0.058,TRUE,3,20,Amp,,0.71,Y,N,N
167,G23,FALSE,TD22,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,13.82,10.912,17.504,23.992,24.093,0.135,,0.086,0.25,0.144,-3.789,TRUE,0.058,TRUE,3,20,Amp,,0.708,Y,N,N
168,G24,FALSE,TD22,GAPDH1,UNKNOWN,VIC,NFQ-MGB,,,,13.82,10.912,17.504,24.042,24.093,0.135,,0.086,0.25,0.144,-3.789,TRUE,0.058,TRUE,3,20,Amp,,0.746,Y,N,N
169,H1,FALSE,H9,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.179,30.418,0.207,,,,,,TRUE,0.102,TRUE,3,26,Amp,,0.875,N,N,N
170,H2,FALSE,H9,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.543,30.418,0.207,,,,,,TRUE,0.102,TRUE,3,26,Amp,,0.883,N,N,N
171,H3,FALSE,H9,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.532,30.418,0.207,,,,,,TRUE,0.102,TRUE,3,26,Amp,,0.859,N,N,N
172,H4,FALSE,AJC,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.596,28.617,0.08,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.874,N,N,N
173,H5,FALSE,AJC,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.705,28.617,0.08,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.884,N,N,N
174,H6,FALSE,AJC,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.548,28.617,0.08,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.872,N,N,N
175,H7,FALSE,AJD,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.821,28.716,0.193,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.869,N,N,N
176,H8,FALSE,AJD,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.834,28.716,0.193,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.907,N,N,N
177,H9,FALSE,AJD,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.494,28.716,0.193,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.901,N,N,N
178,H10,FALSE,AJG,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.993,29.867,0.109,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.875,N,N,N
179,H11,FALSE,AJG,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.811,29.867,0.109,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.902,N,N,N
180,H12,FALSE,AJG,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.796,29.867,0.109,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.888,N,N,N
181,H13,FALSE,TD02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.269,29.274,0.12,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.939,N,N,N
182,H14,FALSE,TD02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.397,29.274,0.12,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.877,N,N,N
183,H15,FALSE,TD02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.157,29.274,0.12,,,,,,TRUE,0.102,TRUE,3,25,Amp,,0.962,N,N,N
184,H16,FALSE,TD03,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.718,29.529,0.265,,,,,,TRUE,0.102,TRUE,3,24,Amp,,0.841,N,N,N
