Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,11-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-09-11 14:18:36 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\Administrator\Experiments\Gilles\2019-09-10_120614FXCellLinesExpProfile2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,2019-09-10_120614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-09-11 11:04:11 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,PRFLOW,HIGHSD,BADROX,PRFDROP
1,A1,FALSE,AiW002-2-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.858,1.166,26.944,27.015,0.082,,6.498,0.162,0.094,0.000,TRUE,0.335,TRUE,3,21,Amp,,0.937,N,N,N,N,N,N
2,A2,FALSE,AiW002-2-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.858,1.166,27.105,27.015,0.082,,6.498,0.162,0.094,0.000,TRUE,0.335,TRUE,3,21,Amp,,0.937,N,N,N,N,N,N
3,A3,FALSE,AiW002-2-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.858,1.166,26.995,27.015,0.082,,6.498,0.162,0.094,0.000,TRUE,0.335,TRUE,3,21,Amp,,0.949,N,N,N,N,N,N
4,A4,FALSE,AiW002-2-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.847,1.181,30.281,30.332,0.106,,9.815,0.176,0.101,0.000,TRUE,0.398,TRUE,3,24,Amp,,0.943,N,N,N,N,N,N
5,A5,FALSE,AiW002-2-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.847,1.181,30.260,30.332,0.106,,9.815,0.176,0.101,0.000,TRUE,0.398,TRUE,3,24,Amp,,0.951,N,N,N,N,N,N
6,A6,FALSE,AiW002-2-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.847,1.181,30.454,30.332,0.106,,9.815,0.176,0.101,0.000,TRUE,0.398,TRUE,3,23,Amp,,0.956,N,N,N,N,N,N
7,A7,FALSE,AiW002-2-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.841,1.189,21.325,21.390,0.118,,0.874,0.183,0.106,0.000,TRUE,0.379,TRUE,3,16,Amp,,0.950,N,N,N,N,N,N
8,A8,FALSE,AiW002-2-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.841,1.189,21.320,21.390,0.118,,0.874,0.183,0.106,0.000,TRUE,0.379,TRUE,3,15,Amp,,0.944,N,N,N,N,N,N
9,A9,FALSE,AiW002-2-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.841,1.189,21.526,21.390,0.118,,0.874,0.183,0.106,0.000,TRUE,0.379,TRUE,3,16,Amp,,0.935,N,N,N,N,N,N
10,A10,FALSE,AiW002-2-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.784,1.275,26.258,26.013,0.215,,5.497,0.256,0.148,0.000,TRUE,0.178,TRUE,3,22,Amp,,0.889,N,N,N,N,N,N
11,A11,FALSE,AiW002-2-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.784,1.275,25.852,26.013,0.215,,5.497,0.256,0.148,0.000,TRUE,0.178,TRUE,3,21,Amp,,0.961,N,N,N,N,N,N
12,A12,FALSE,AiW002-2-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.784,1.275,25.930,26.013,0.215,,5.497,0.256,0.148,0.000,TRUE,0.178,TRUE,3,21,Amp,,0.928,N,N,N,N,N,N
13,A13,FALSE,AiW002-2-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.866,1.155,28.188,28.141,0.060,,7.625,0.152,0.088,0.000,TRUE,0.436,TRUE,3,20,Amp,,0.971,N,N,N,N,N,N
14,A14,FALSE,AiW002-2-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.866,1.155,28.074,28.141,0.060,,7.625,0.152,0.088,0.000,TRUE,0.436,TRUE,3,22,Amp,,0.971,N,N,N,N,N,N
15,A15,FALSE,AiW002-2-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.866,1.155,28.161,28.141,0.060,,7.625,0.152,0.088,0.000,TRUE,0.436,TRUE,3,22,Amp,,0.957,N,N,N,N,N,N
16,A16,FALSE,AiW002-2-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.856,1.168,28.712,28.674,0.087,,8.157,0.165,0.095,0.000,TRUE,0.306,TRUE,3,23,Amp,,0.931,N,N,N,N,N,N
17,A17,FALSE,AiW002-2-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.856,1.168,28.735,28.674,0.087,,8.157,0.165,0.095,0.000,TRUE,0.306,TRUE,3,23,Amp,,0.964,N,N,N,N,N,N
18,A18,FALSE,AiW002-2-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.856,1.168,28.574,28.674,0.087,,8.157,0.165,0.095,0.000,TRUE,0.306,TRUE,3,23,Amp,,0.942,N,N,N,N,N,N
19,A19,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.937,19.014,0.073,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.917,N,N,N,N,N,N
20,A20,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.081,19.014,0.073,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.910,N,N,N,N,N,N
21,A21,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.022,19.014,0.073,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.917,N,N,N,N,N,N
22,A22,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.857,22.019,0.184,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.882,N,N,N,N,N,N
23,A23,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.982,22.019,0.184,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.901,N,N,N,N,N,N
24,A24,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.219,22.019,0.184,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.905,N,N,N,N,N,N
25,B1,FALSE,AiW002-2-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.817,1.224,29.220,29.181,0.161,,8.665,0.213,0.123,0.000,TRUE,0.391,TRUE,3,24,Amp,,0.942,N,N,N,N,Y,N
26,B2,FALSE,AiW002-2-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.817,1.224,29.005,29.181,0.161,,8.665,0.213,0.123,0.000,TRUE,0.391,TRUE,3,23,Amp,,0.933,N,N,N,N,Y,N
27,B3,FALSE,AiW002-2-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.817,1.224,29.320,29.181,0.161,,8.665,0.213,0.123,0.000,TRUE,0.391,TRUE,3,24,Amp,,0.935,N,N,N,N,N,N
28,B4,FALSE,AiW002-2-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.874,1.144,23.028,22.998,0.026,,2.481,0.142,0.082,0.000,TRUE,0.408,TRUE,3,17,Amp,,0.972,N,N,N,N,N,N
29,B5,FALSE,AiW002-2-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.874,1.144,22.981,22.998,0.026,,2.481,0.142,0.082,0.000,TRUE,0.408,TRUE,3,16,Amp,,0.953,N,N,N,N,N,N
30,B6,FALSE,AiW002-2-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.874,1.144,22.984,22.998,0.026,,2.481,0.142,0.082,0.000,TRUE,0.408,TRUE,3,17,Amp,,0.973,N,N,N,N,N,N
31,B7,FALSE,AiW002-2-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.519,1.929,21.158,20.395,0.680,,-0.121,0.694,0.401,0.000,TRUE,0.429,TRUE,3,16,Amp,,0.939,N,N,N,Y,N,N
32,B8,FALSE,AiW002-2-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.519,1.929,19.853,20.395,0.680,,-0.121,0.694,0.401,0.000,TRUE,0.429,TRUE,3,14,Amp,,0.984,N,N,N,Y,Y,Y
33,B9,FALSE,AiW002-2-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.519,1.929,20.174,20.395,0.680,,-0.121,0.694,0.401,0.000,TRUE,0.429,TRUE,3,13,Amp,,0.970,N,N,N,Y,N,Y
34,B10,FALSE,AiW002-2-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.866,1.154,26.822,26.859,0.059,,6.343,0.152,0.088,0.000,TRUE,0.399,TRUE,3,21,Amp,,0.960,N,N,N,N,N,N
35,B11,FALSE,AiW002-2-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.866,1.154,26.927,26.859,0.059,,6.343,0.152,0.088,0.000,TRUE,0.399,TRUE,3,20,Amp,,0.966,N,N,N,N,Y,N
36,B12,FALSE,AiW002-2-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.866,1.154,26.828,26.859,0.059,,6.343,0.152,0.088,0.000,TRUE,0.399,TRUE,3,20,Amp,,0.954,N,N,N,N,N,N
49,C1,FALSE,AiW002-2-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.591,0.524,0.666,27.971,27.982,0.014,,7.258,0.127,0.073,0.760,TRUE,0.335,TRUE,3,21,Amp,,0.943,N,N,N,N,N,N
50,C2,FALSE,AiW002-2-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.591,0.524,0.666,27.977,27.982,0.014,,7.258,0.127,0.073,0.760,TRUE,0.335,TRUE,3,22,Amp,,0.941,N,N,N,N,N,N
51,C3,FALSE,AiW002-2-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.591,0.524,0.666,27.998,27.982,0.014,,7.258,0.127,0.073,0.760,TRUE,0.335,TRUE,3,21,Amp,,0.942,N,N,N,N,N,N
52,C4,FALSE,AiW002-2-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.336,0.230,0.492,31.956,32.111,0.382,,11.387,0.402,0.232,1.572,TRUE,0.398,TRUE,3,27,Amp,,0.939,N,N,N,N,N,N
53,C5,FALSE,AiW002-2-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.336,0.230,0.492,31.831,32.111,0.382,,11.387,0.402,0.232,1.572,TRUE,0.398,TRUE,3,26,Amp,,0.940,N,N,N,N,N,N
54,C6,FALSE,AiW002-2-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.336,0.230,0.492,32.546,32.111,0.382,,11.387,0.402,0.232,1.572,TRUE,0.398,TRUE,3,27,Amp,,0.899,N,N,N,N,N,N
55,C7,FALSE,AiW002-2-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.328,0.289,0.372,23.174,23.206,0.041,,2.482,0.132,0.076,1.609,TRUE,0.379,TRUE,3,18,Amp,,0.950,N,N,N,N,N,N
56,C8,FALSE,AiW002-2-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.328,0.289,0.372,23.193,23.206,0.041,,2.482,0.132,0.076,1.609,TRUE,0.379,TRUE,3,17,Amp,,0.953,N,N,N,N,N,N
57,C9,FALSE,AiW002-2-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.328,0.289,0.372,23.252,23.206,0.041,,2.482,0.132,0.076,1.609,TRUE,0.379,TRUE,3,17,Amp,,0.950,N,N,N,N,N,N
58,C10,FALSE,AiW002-2-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.328,0.285,0.377,27.839,27.830,0.077,,7.106,0.148,0.085,1.609,TRUE,0.178,TRUE,3,23,Amp,,0.933,N,N,N,N,N,N
59,C11,FALSE,AiW002-2-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.328,0.285,0.377,27.903,27.830,0.077,,7.106,0.148,0.085,1.609,TRUE,0.178,TRUE,3,22,Amp,,0.934,N,N,N,N,N,N
60,C12,FALSE,AiW002-2-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.328,0.285,0.377,27.748,27.830,0.077,,7.106,0.148,0.085,1.609,TRUE,0.178,TRUE,3,22,Amp,,0.947,N,N,N,N,N,N
61,C13,FALSE,AiW002-2-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.453,0.382,0.538,29.413,29.490,0.129,,8.766,0.180,0.104,1.141,TRUE,0.436,TRUE,3,24,Amp,,0.963,N,N,N,N,N,N
62,C14,FALSE,AiW002-2-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.453,0.382,0.538,29.418,29.490,0.129,,8.766,0.180,0.104,1.141,TRUE,0.436,TRUE,3,24,Amp,,0.990,N,N,N,N,N,N
63,C15,FALSE,AiW002-2-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.453,0.382,0.538,29.639,29.490,0.129,,8.766,0.180,0.104,1.141,TRUE,0.436,TRUE,3,24,Amp,,0.960,N,N,N,N,N,N
64,C16,FALSE,AiW002-2-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.722,0.555,0.939,29.096,29.351,0.248,,8.627,0.278,0.161,0.470,TRUE,0.306,TRUE,3,23,Amp,,0.948,N,N,N,N,N,N
65,C17,FALSE,AiW002-2-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.722,0.555,0.939,29.366,29.351,0.248,,8.627,0.278,0.161,0.470,TRUE,0.306,TRUE,3,24,Amp,,0.949,N,N,N,N,Y,N
66,C18,FALSE,AiW002-2-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.722,0.555,0.939,29.591,29.351,0.248,,8.627,0.278,0.161,0.470,TRUE,0.306,TRUE,3,24,Amp,,0.927,N,N,N,N,N,N
67,C19,FALSE,AiW002-2-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.128,19.169,0.068,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.907,N,N,N,N,N,N
68,C20,FALSE,AiW002-2-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.248,19.169,0.068,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.929,N,N,N,N,N,N
69,C21,FALSE,AiW002-2-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.131,19.169,0.068,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.903,N,N,N,N,N,N
70,C22,FALSE,AiW002-2-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.352,22.279,0.165,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.889,N,N,N,N,N,N
71,C23,FALSE,AiW002-2-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.090,22.279,0.165,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.874,N,N,N,N,N,N
72,C24,FALSE,AiW002-2-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.394,22.279,0.165,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.899,N,N,N,N,Y,N
73,D1,FALSE,AiW002-2-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,3.466,2.834,4.239,27.572,27.596,0.171,,6.872,0.213,0.123,-1.793,TRUE,0.391,TRUE,3,21,Amp,,0.962,N,N,N,N,Y,N
74,D2,FALSE,AiW002-2-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,3.466,2.834,4.239,27.437,27.596,0.171,,6.872,0.213,0.123,-1.793,TRUE,0.391,TRUE,3,21,Amp,,0.970,N,N,N,N,N,N
75,D3,FALSE,AiW002-2-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,3.466,2.834,4.239,27.777,27.596,0.171,,6.872,0.213,0.123,-1.793,TRUE,0.391,TRUE,3,21,Amp,,0.941,N,N,N,N,N,N
76,D4,FALSE,AiW002-2-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.235,1.072,1.424,22.839,22.900,0.081,,2.176,0.150,0.087,-0.305,TRUE,0.408,TRUE,3,17,Amp,,0.961,N,N,N,N,N,N
77,D5,FALSE,AiW002-2-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.235,1.072,1.424,22.869,22.900,0.081,,2.176,0.150,0.087,-0.305,TRUE,0.408,TRUE,3,17,Amp,,0.958,N,N,N,N,N,N
78,D6,FALSE,AiW002-2-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.235,1.072,1.424,22.992,22.900,0.081,,2.176,0.150,0.087,-0.305,TRUE,0.408,TRUE,3,17,Amp,,0.982,N,N,N,N,N,N
79,D7,FALSE,AiW002-2-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.786,0.685,0.903,20.873,20.950,0.074,,0.226,0.146,0.084,0.347,TRUE,0.429,TRUE,3,14,Amp,,0.959,N,N,N,N,N,N
80,D8,FALSE,AiW002-2-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.786,0.685,0.903,20.956,20.950,0.074,,0.226,0.146,0.084,0.347,TRUE,0.429,TRUE,3,15,Amp,,0.937,N,N,N,N,N,N
81,D9,FALSE,AiW002-2-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.786,0.685,0.903,21.021,20.950,0.074,,0.226,0.146,0.084,0.347,TRUE,0.429,TRUE,3,15,Amp,,0.932,N,N,N,N,N,N
82,D10,FALSE,AiW002-2-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,1.484,1.303,1.691,26.489,26.497,0.056,,5.773,0.138,0.080,-0.570,TRUE,0.399,TRUE,3,20,Amp,,0.957,N,N,N,N,N,N
83,D11,FALSE,AiW002-2-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,1.484,1.303,1.691,26.446,26.497,0.056,,5.773,0.138,0.080,-0.570,TRUE,0.399,TRUE,3,21,Amp,,0.951,N,N,N,N,N,N
84,D12,FALSE,AiW002-2-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,1.484,1.303,1.691,26.556,26.497,0.056,,5.773,0.138,0.080,-0.570,TRUE,0.399,TRUE,3,20,Amp,,0.956,N,N,N,N,N,N
97,E1,FALSE,KYOU-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.898,0.736,1.096,26.774,26.750,0.114,,6.654,0.211,0.122,0.156,TRUE,0.335,TRUE,3,21,Amp,,0.962,N,N,N,N,N,N
98,E2,FALSE,KYOU-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.898,0.736,1.096,26.626,26.750,0.114,,6.654,0.211,0.122,0.156,TRUE,0.335,TRUE,3,21,Amp,,0.942,N,N,N,N,N,N
99,E3,FALSE,KYOU-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.898,0.736,1.096,26.849,26.750,0.114,,6.654,0.211,0.122,0.156,TRUE,0.335,TRUE,3,20,Amp,,0.946,N,N,N,N,N,N
100,E4,FALSE,KYOU-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.775,0.615,0.975,30.471,30.280,0.167,,10.183,0.243,0.141,0.368,TRUE,0.398,TRUE,3,25,Amp,,0.947,N,N,N,N,N,N
101,E5,FALSE,KYOU-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.775,0.615,0.975,30.163,30.280,0.167,,10.183,0.243,0.141,0.368,TRUE,0.398,TRUE,3,24,Amp,,0.942,N,N,N,N,N,N
102,E6,FALSE,KYOU-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.775,0.615,0.975,30.205,30.280,0.167,,10.183,0.243,0.141,0.368,TRUE,0.398,TRUE,3,24,Amp,,0.940,N,N,N,N,N,N
103,E7,FALSE,KYOU-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.677,0.567,0.809,21.469,21.532,0.061,,1.436,0.187,0.108,0.562,TRUE,0.379,TRUE,3,16,Amp,,0.951,N,N,N,N,N,N
