Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,D10,FALSE,GM25975,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.923,1.06,26.975,26.96,0.035,,0.144,0.062,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.989,N,N,N,N,N,N,N,N
83,D11,FALSE,GM25975,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.923,1.06,26.92,26.96,0.035,,0.144,0.062,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.987,N,N,N,N,N,N,N,N
84,D12,FALSE,GM25975,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.923,1.06,26.984,26.96,0.035,,0.144,0.062,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.992,N,N,N,N,N,N,N,N
85,D13,FALSE,GM25974,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.951,0.883,1.023,26.881,26.955,0.065,,0.201,0.066,0.038,0.073,TRUE,0.332,TRUE,3,21,Amp,,0.984,N,N,N,N,N,N,N,N
86,D14,FALSE,GM25974,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.951,0.883,1.023,27.003,26.955,0.065,,0.201,0.066,0.038,0.073,TRUE,0.332,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
87,D15,FALSE,GM25974,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.951,0.883,1.023,26.98,26.955,0.065,,0.201,0.066,0.038,0.073,TRUE,0.332,TRUE,3,21,Amp,,0.981,N,N,N,N,N,N,N,N
88,D16,FALSE,GM25952,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.017,0.885,1.168,27.398,27.379,0.089,,0.104,0.125,0.072,#FIELD!,TRUE,0.332,TRUE,3,21,Amp,,0.982,N,N,N,N,N,N,N,N
89,D17,FALSE,GM25952,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.017,0.885,1.168,27.457,27.379,0.089,,0.104,0.125,0.072,#FIELD!,TRUE,0.332,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
90,D18,FALSE,GM25952,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.017,0.885,1.168,27.282,27.379,0.089,,0.104,0.125,0.072,#FIELD!,TRUE,0.332,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
91,D19,FALSE,AIW001-02 P4+P7,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.023,0.576,1.817,34.19,34.102,0.291,,0.096,0.517,0.298,#FIELD!,TRUE,0.332,TRUE,3,28,Amp,,0.96,N,N,N,N,N,N,N,N
92,D20,FALSE,AIW001-02 P4+P7,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.023,0.576,1.817,34.339,34.102,0.291,,0.096,0.517,0.298,#FIELD!,TRUE,0.332,TRUE,3,28,Amp,,0.975,N,N,N,N,N,N,N,N
93,D21,FALSE,AIW001-02 P4+P7,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.023,0.576,1.817,33.777,34.102,0.291,,0.096,0.517,0.298,#FIELD!,TRUE,0.332,TRUE,3,27,Amp,,0.981,N,N,N,N,N,N,N,N
94,D22,FALSE,3450-C WT,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.005,0.927,1.089,26.26,26.239,0.038,,0.122,0.073,0.042,#FIELD!,TRUE,0.332,TRUE,3,20,Amp,,0.988,N,N,N,N,N,N,N,N
95,D23,FALSE,3450-C WT,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.005,0.927,1.089,26.262,26.239,0.038,,0.122,0.073,0.042,#FIELD!,TRUE,0.332,TRUE,3,20,Amp,,0.987,N,N,N,N,N,N,N,N
96,D24,FALSE,3450-C WT,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1.005,0.927,1.089,26.196,26.239,0.038,,0.122,0.073,0.042,#FIELD!,TRUE,0.332,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,N,N
97,E1,FALSE,Normal,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1,0.947,1.056,25.255,25.236,0.017,,0.481,0.049,0.028,0,TRUE,0.289,TRUE,3,19,Amp,,0.985,N,N,N,N,N,N,N,N
98,E2,FALSE,Normal,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1,0.947,1.056,25.229,25.236,0.017,,0.481,0.049,0.028,0,TRUE,0.289,TRUE,3,19,Amp,,0.972,N,N,N,N,N,N,N,N
99,E3,FALSE,Normal,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1,0.947,1.056,25.224,25.236,0.017,,0.481,0.049,0.028,0,TRUE,0.289,TRUE,3,19,Amp,,0.97,N,N,N,N,N,N,N,N
100,E4,FALSE,fxs,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.146,0.985,1.333,28.991,28.996,0.013,,0.285,0.136,0.079,#FIELD!,TRUE,0.289,TRUE,3,23,Amp,,0.972,N,N,N,N,N,N,N,N
101,E5,FALSE,fxs,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.146,0.985,1.333,29.011,28.996,0.013,,0.285,0.136,0.079,#FIELD!,TRUE,0.289,TRUE,3,23,Amp,,0.97,N,N,N,N,N,N,N,N
102,E6,FALSE,fxs,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.146,0.985,1.333,28.986,28.996,0.013,,0.285,0.136,0.079,#FIELD!,TRUE,0.289,TRUE,3,23,Amp,,0.974,N,N,N,N,N,N,N,N
103,E7,FALSE,GM25953,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,0.975,0.9,1.056,27.9,27.84,0.059,,0.518,0.072,0.042,0.037,TRUE,0.289,TRUE,3,22,Amp,,0.98,N,N,N,N,N,N,N,N
104,E8,FALSE,GM25953,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,0.975,0.9,1.056,27.782,27.84,0.059,,0.518,0.072,0.042,0.037,TRUE,0.289,TRUE,3,22,Amp,,0.976,N,N,N,N,N,N,N,N
105,E9,FALSE,GM25953,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,0.975,0.9,1.056,27.837,27.84,0.059,,0.518,0.072,0.042,0.037,TRUE,0.289,TRUE,3,22,Amp,,0.976,N,N,N,N,N,N,N,N
106,E10,FALSE,GM25975,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.085,1.023,1.15,27.172,27.179,0.007,,0.364,0.053,0.03,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
107,E11,FALSE,GM25975,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.085,1.023,1.15,27.18,27.179,0.007,,0.364,0.053,0.03,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
108,E12,FALSE,GM25975,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.085,1.023,1.15,27.186,27.179,0.007,,0.364,0.053,0.03,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
109,E13,FALSE,GM25974,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.111,1.072,1.152,27.096,27.082,0.029,,0.329,0.032,0.019,#FIELD!,TRUE,0.289,TRUE,3,20,Amp,,0.974,N,N,N,N,N,N,N,N
110,E14,FALSE,GM25974,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.111,1.072,1.152,27.102,27.082,0.029,,0.329,0.032,0.019,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.972,N,N,N,N,N,N,N,N
111,E15,FALSE,GM25974,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.111,1.072,1.152,27.05,27.082,0.029,,0.329,0.032,0.019,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.974,N,N,N,N,N,N,N,N
112,E16,FALSE,GM25952,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.122,0.991,1.272,27.656,27.589,0.071,,0.315,0.112,0.065,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.977,N,N,N,N,N,N,N,N
113,E17,FALSE,GM25952,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.122,0.991,1.272,27.597,27.589,0.071,,0.315,0.112,0.065,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.977,N,N,N,N,N,N,N,N
114,E18,FALSE,GM25952,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.122,0.991,1.272,27.515,27.589,0.071,,0.315,0.112,0.065,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.971,N,N,N,N,N,N,N,N
115,E19,FALSE,AIW001-02 P4+P7,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.257,0.753,2.099,34.19,34.157,0.174,,0.151,0.461,0.266,#FIELD!,TRUE,0.289,TRUE,3,27,Amp,,0.956,N,N,N,N,N,N,N,N
116,E20,FALSE,AIW001-02 P4+P7,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.257,0.753,2.099,34.312,34.157,0.174,,0.151,0.461,0.266,#FIELD!,TRUE,0.289,TRUE,3,27,Amp,,0.94,N,N,N,N,N,N,N,N
117,E21,FALSE,AIW001-02 P4+P7,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.257,0.753,2.099,33.969,34.157,0.174,,0.151,0.461,0.266,#FIELD!,TRUE,0.289,TRUE,3,27,Amp,,0.955,N,N,N,N,N,N,N,N
118,E22,FALSE,3450-C WT,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.103,1.009,1.205,26.51,26.458,0.05,,0.34,0.08,0.046,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.969,N,N,N,N,N,N,N,N
119,E23,FALSE,3450-C WT,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.103,1.009,1.205,26.41,26.458,0.05,,0.34,0.08,0.046,#FIELD!,TRUE,0.289,TRUE,3,20,Amp,,0.976,N,N,N,N,N,N,N,N
120,E24,FALSE,3450-C WT,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.103,1.009,1.205,26.454,26.458,0.05,,0.34,0.08,0.046,#FIELD!,TRUE,0.289,TRUE,3,20,Amp,,0.984,N,N,N,N,N,N,N,N
121,F1,FALSE,Normal,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1,0.945,1.059,25.005,25.007,0.022,,0.252,0.051,0.03,0,TRUE,0.337,TRUE,3,19,Amp,,0.987,N,N,N,N,N,N,N,N
122,F2,FALSE,Normal,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1,0.945,1.059,24.987,25.007,0.022,,0.252,0.051,0.03,0,TRUE,0.337,TRUE,3,18,Amp,,0.991,N,N,N,N,N,N,N,N
123,F3,FALSE,Normal,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1,0.945,1.059,25.031,25.007,0.022,,0.252,0.051,0.03,0,TRUE,0.337,TRUE,3,19,Amp,,0.983,N,N,N,N,N,N,N,N
124,F4,FALSE,fxs,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.972,0.83,1.137,28.992,29.005,0.041,,0.294,0.141,0.082,0.042,TRUE,0.337,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
125,F5,FALSE,fxs,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.972,0.83,1.137,29.051,29.005,0.041,,0.294,0.141,0.082,0.042,TRUE,0.337,TRUE,3,23,Amp,,0.979,N,N,N,N,N,N,N,N
126,F6,FALSE,fxs,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.972,0.83,1.137,28.973,29.005,0.041,,0.294,0.141,0.082,0.042,TRUE,0.337,TRUE,3,23,Amp,,0.988,N,N,N,N,N,N,N,N
127,F7,FALSE,GM25953,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.979,0.923,1.037,27.618,27.606,0.032,,0.284,0.052,0.03,0.031,TRUE,0.337,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
128,F8,FALSE,GM25953,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.979,0.923,1.037,27.629,27.606,0.032,,0.284,0.052,0.03,0.031,TRUE,0.337,TRUE,3,21,Amp,,0.991,N,N,N,N,N,N,N,N
129,F9,FALSE,GM25953,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.979,0.923,1.037,27.57,27.606,0.032,,0.284,0.052,0.03,0.031,TRUE,0.337,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,N,N
130,F10,FALSE,GM25975,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.982,0.913,1.057,27.128,27.094,0.04,,0.279,0.066,0.038,0.026,TRUE,0.337,TRUE,3,21,Amp,,0.987,N,N,N,N,N,N,N,N
131,F11,FALSE,GM25975,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.982,0.913,1.057,27.104,27.094,0.04,,0.279,0.066,0.038,0.026,TRUE,0.337,TRUE,3,20,Amp,,0.986,N,N,N,N,N,N,N,N
132,F12,FALSE,GM25975,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.982,0.913,1.057,27.05,27.094,0.04,,0.279,0.066,0.038,0.026,TRUE,0.337,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
133,F13,FALSE,GM25974,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.947,0.895,1.001,27.064,27.085,0.048,,0.332,0.051,0.029,0.079,TRUE,0.337,TRUE,3,21,Amp,,0.985,N,N,N,N,N,N,N,N
134,F14,FALSE,GM25974,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.947,0.895,1.001,27.14,27.085,0.048,,0.332,0.051,0.029,0.079,TRUE,0.337,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
135,F15,FALSE,GM25974,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.947,0.895,1.001,27.051,27.085,0.048,,0.332,0.051,0.029,0.079,TRUE,0.337,TRUE,3,20,Amp,,0.981,N,N,N,N,N,N,N,N
136,F16,FALSE,GM25952,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.027,0.931,1.134,27.502,27.488,0.014,,0.213,0.088,0.051,#FIELD!,TRUE,0.337,TRUE,3,22,Amp,,0.98,N,N,N,N,N,N,N,N
137,F17,FALSE,GM25952,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.027,0.931,1.134,27.474,27.488,0.014,,0.213,0.088,0.051,#FIELD!,TRUE,0.337,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
138,F18,FALSE,GM25952,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.027,0.931,1.134,27.488,27.488,0.014,,0.213,0.088,0.051,#FIELD!,TRUE,0.337,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
139,F19,FALSE,AIW001-02 P4+P7,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.131,0.692,1.851,34.154,34.081,0.118,,0.074,0.443,0.256,#FIELD!,TRUE,0.337,TRUE,3,27,Amp,,0.962,N,N,N,N,N,N,N,N
140,F20,FALSE,AIW001-02 P4+P7,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.131,0.692,1.851,33.945,34.081,0.118,,0.074,0.443,0.256,#FIELD!,TRUE,0.337,TRUE,3,28,Amp,,0.982,N,N,N,N,N,N,N,N
141,F21,FALSE,AIW001-02 P4+P7,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.131,0.692,1.851,34.143,34.081,0.118,,0.074,0.443,0.256,#FIELD!,TRUE,0.337,TRUE,3,27,Amp,,0.977,N,N,N,N,N,N,N,N
142,F22,FALSE,3450-C WT,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.003,0.928,1.083,26.387,26.366,0.031,,0.249,0.07,0.04,#FIELD!,TRUE,0.337,TRUE,3,20,Amp,,0.991,N,N,N,N,N,N,N,N
143,F23,FALSE,3450-C WT,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.003,0.928,1.083,26.33,26.366,0.031,,0.249,0.07,0.04,#FIELD!,TRUE,0.337,TRUE,3,20,Amp,,0.99,N,N,N,N,N,N,N,N
144,F24,FALSE,3450-C WT,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.003,0.928,1.083,26.381,26.366,0.031,,0.249,0.07,0.04,#FIELD!,TRUE,0.337,TRUE,3,20,Amp,,0.99,N,N,N,N,N,N,N,N
145,G1,FALSE,Normal,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1,0.924,1.082,24.174,24.229,0.054,,#FIELD!,0.071,0.041,0,TRUE,0.144,TRUE,3,19,Amp,,0.988,N,N,N,N,N,N,N,N
146,G2,FALSE,Normal,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1,0.924,1.082,24.233,24.229,0.054,,#FIELD!,0.071,0.041,0,TRUE,0.144,TRUE,3,19,Amp,,0.984,N,N,N,N,N,N,N,N
147,G3,FALSE,Normal,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1,0.924,1.082,24.281,24.229,0.054,,#FIELD!,0.071,0.041,0,TRUE,0.144,TRUE,3,20,Amp,,0.984,N,N,N,N,N,N,N,N
148,G4,FALSE,fxs,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.15,0.909,1.455,28.103,27.984,0.163,,#FIELD!,0.212,0.122,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.985,N,N,N,N,N,N,N,N
149,G5,FALSE,fxs,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.15,0.909,1.455,27.799,27.984,0.163,,#FIELD!,0.212,0.122,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.989,N,N,N,N,N,N,N,N
150,G6,FALSE,fxs,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.15,0.909,1.455,28.051,27.984,0.163,,#FIELD!,0.212,0.122,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.984,N,N,N,N,N,N,N,N
151,G7,FALSE,GM25953,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.035,0.948,1.129,26.824,26.748,0.067,,#FIELD!,0.079,0.045,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.985,N,N,N,N,N,N,N,N
152,G8,FALSE,GM25953,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.035,0.948,1.129,26.719,26.748,0.067,,#FIELD!,0.079,0.045,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.987,N,N,N,N,N,N,N,N
153,G9,FALSE,GM25953,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.035,0.948,1.129,26.7,26.748,0.067,,#FIELD!,0.079,0.045,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
154,G10,FALSE,GM25975,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.095,1.033,1.162,26.159,26.159,0.009,,#FIELD!,0.053,0.03,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
155,G11,FALSE,GM25975,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.095,1.033,1.162,26.167,26.159,0.009,,#FIELD!,0.053,0.03,#FIELD!,TRUE,0.144,TRUE,3,20,Amp,,0.987,N,N,N,N,N,N,N,N
156,G12,FALSE,GM25975,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.095,1.033,1.162,26.15,26.159,0.009,,#FIELD!,0.053,0.03,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
157,G13,FALSE,GM25974,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.903,0.863,0.946,26.417,26.374,0.039,,#FIELD!,0.042,0.024,0.146,TRUE,0.144,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
158,G14,FALSE,GM25974,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.903,0.863,0.946,26.367,26.374,0.039,,#FIELD!,0.042,0.024,0.146,TRUE,0.144,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
159,G15,FALSE,GM25974,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.903,0.863,0.946,26.34,26.374,0.039,,#FIELD!,0.042,0.024,0.146,TRUE,0.144,TRUE,3,21,Amp,,0.985,N,N,N,N,N,N,N,N
160,G16,FALSE,GM25952,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.91,0.819,1.01,26.879,26.886,0.035,,#FIELD!,0.094,0.054,0.136,TRUE,0.144,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
161,G17,FALSE,GM25952,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.91,0.819,1.01,26.924,26.886,0.035,,#FIELD!,0.094,0.054,0.136,TRUE,0.144,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
162,G18,FALSE,GM25952,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.91,0.819,1.01,26.855,26.886,0.035,,#FIELD!,0.094,0.054,0.136,TRUE,0.144,TRUE,3,22,Amp,,0.981,N,N,N,N,N,N,N,N
163,G19,FALSE,AIW001-02 P4+P7,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.366,0.196,0.682,35.318,34.931,0.363,,0.925,0.561,0.324,1.45,TRUE,0.144,TRUE,3,30,Amp,,0.944,N,N,N,N,N,N,N,N
164,G20,FALSE,AIW001-02 P4+P7,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.366,0.196,0.682,34.879,34.931,0.363,,0.925,0.561,0.324,1.45,TRUE,0.144,TRUE,3,28,Amp,,0.95,N,N,N,N,N,N,N,N
165,G21,FALSE,AIW001-02 P4+P7,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,0.366,0.196,0.682,34.597,34.931,0.363,,0.925,0.561,0.324,1.45,TRUE,0.144,TRUE,3,28,Amp,,0.951,N,N,N,N,N,N,N,N
166,G22,FALSE,3450-C WT,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.952,1.144,25.591,25.531,0.054,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.144,TRUE,3,20,Amp,,0.973,N,N,N,N,N,N,N,N
167,G23,FALSE,3450-C WT,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.952,1.144,25.514,25.531,0.054,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.144,TRUE,3,20,Amp,,0.971,N,N,N,N,N,N,N,N
168,G24,FALSE,3450-C WT,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.952,1.144,25.487,25.531,0.054,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.144,TRUE,3,20,Amp,,0.977,N,N,N,N,N,N,N,N
169,H1,FALSE,Normal,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,1,0.935,1.07,24.804,24.77,0.039,,0.015,0.061,0.035,0,TRUE,0.302,TRUE,3,19,Amp,,0.988,N,N,N,N,N,N,N,N
170,H2,FALSE,Normal,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,1,0.935,1.07,24.727,24.77,0.039,,0.015,0.061,0.035,0,TRUE,0.302,TRUE,3,19,Amp,,0.993,N,N,N,N,N,N,N,N
171,H3,FALSE,Normal,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,1,0.935,1.07,24.777,24.77,0.039,,0.015,0.061,0.035,0,TRUE,0.302,TRUE,3,19,Amp,,0.992,N,N,N,N,N,N,N,N
172,H4,FALSE,fxs,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.642,0.54,0.764,29.428,29.365,0.079,,0.653,0.157,0.09,0.639,TRUE,0.302,TRUE,3,24,Amp,,0.987,N,N,N,N,N,N,N,N
173,H5,FALSE,fxs,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.642,0.54,0.764,29.276,29.365,0.079,,0.653,0.157,0.09,0.639,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
174,H6,FALSE,fxs,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.642,0.54,0.764,29.389,29.365,0.079,,0.653,0.157,0.09,0.639,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
175,H7,FALSE,GM25953,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,1.005,0.938,1.076,27.359,27.33,0.045,,0.008,0.062,0.036,#FIELD!,TRUE,0.302,TRUE,3,22,Amp,,0.986,N,N,N,N,N,N,N,N
176,H8,FALSE,GM25953,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,1.005,0.938,1.076,27.278,27.33,0.045,,0.008,0.062,0.036,#FIELD!,TRUE,0.302,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
177,H9,FALSE,GM25953,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,1.005,0.938,1.076,27.353,27.33,0.045,,0.008,0.062,0.036,#FIELD!,TRUE,0.302,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
178,H10,FALSE,GM25975,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.923,0.864,0.987,26.919,26.946,0.03,,0.13,0.06,0.035,0.115,TRUE,0.302,TRUE,3,21,Amp,,0.991,N,N,N,N,N,N,N,N
179,H11,FALSE,GM25975,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.923,0.864,0.987,26.977,26.946,0.03,,0.13,0.06,0.035,0.115,TRUE,0.302,TRUE,3,21,Amp,,0.993,N,N,N,N,N,N,N,N
180,H12,FALSE,GM25975,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.923,0.864,0.987,26.94,26.946,0.03,,0.13,0.06,0.035,0.115,TRUE,0.302,TRUE,3,21,Amp,,0.989,N,N,N,N,N,N,N,N
