Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,L15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.866,1.092,27.105,27.215,0.1,,0.168,0.104,0.06,0.04,TRUE,0.332,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
280,L16,FALSE,AIW001-02,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.159,29.212,0.065,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.988,N,N,N,N,N,N,N,N
281,L17,FALSE,AIW001-02,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.192,29.212,0.065,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
282,L18,FALSE,AIW001-02,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.284,29.212,0.065,,,,,,TRUE,0.302,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
283,L19,FALSE,AIW001-02 P4+P7,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.07,0.035,0.138,38.051,37.844,0.436,,3.837,0.61,0.352,3.839,TRUE,0.247,TRUE,3,31,Inconclusive,,0.776,N,Y,N,N,N,N,N,N
284,L20,FALSE,AIW001-02 P4+P7,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.07,0.035,0.138,37.343,37.844,0.436,,3.837,0.61,0.352,3.839,TRUE,0.247,TRUE,3,30,Amp,,0.785,N,Y,N,N,N,N,N,N
285,L21,FALSE,AIW001-02 P4+P7,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.07,0.035,0.138,38.137,37.844,0.436,,3.837,0.61,0.352,3.839,TRUE,0.247,TRUE,3,32,Inconclusive,,0.715,N,Y,N,N,N,N,N,N
286,L22,FALSE,3450-C WT,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.928,0.844,1.022,26.29,26.223,0.059,,0.106,0.086,0.05,0.107,TRUE,0.247,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,N,N
287,L23,FALSE,3450-C WT,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.928,0.844,1.022,26.2,26.223,0.059,,0.106,0.086,0.05,0.107,TRUE,0.247,TRUE,3,20,Amp,,0.964,N,N,N,N,N,N,N,N
288,L24,FALSE,3450-C WT,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.928,0.844,1.022,26.178,26.223,0.059,,0.106,0.086,0.05,0.107,TRUE,0.247,TRUE,3,20,Amp,,0.969,N,N,N,N,N,N,N,N
289,M1,FALSE,3450-C 5A-KO-SA3,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.113,1.04,1.192,27.589,27.594,0.006,,0.327,0.061,0.035,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
290,M2,FALSE,3450-C 5A-KO-SA3,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.113,1.04,1.192,27.6,27.594,0.006,,0.327,0.061,0.035,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
291,M3,FALSE,3450-C 5A-KO-SA3,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.113,1.04,1.192,27.593,27.594,0.006,,0.327,0.061,0.035,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
292,M4,FALSE,3450-C 5A-KO-5A1,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.218,1.122,1.323,27.005,26.997,0.038,,0.197,0.074,0.043,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
293,M5,FALSE,3450-C 5A-KO-5A1,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.218,1.122,1.323,27.03,26.997,0.038,,0.197,0.074,0.043,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.979,N,N,N,N,N,N,N,N
294,M6,FALSE,3450-C 5A-KO-5A1,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.218,1.122,1.323,26.956,26.997,0.038,,0.197,0.074,0.043,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.981,N,N,N,N,N,N,N,N
295,M7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.107,1.017,1.205,28.662,28.679,0.049,,0.335,0.077,0.044,#FIELD!,TRUE,0.289,TRUE,3,23,Amp,,0.98,N,N,N,N,N,N,N,N
296,M8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.107,1.017,1.205,28.641,28.679,0.049,,0.335,0.077,0.044,#FIELD!,TRUE,0.289,TRUE,3,23,Amp,,0.977,N,N,N,N,N,N,N,N
297,M9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.107,1.017,1.205,28.734,28.679,0.049,,0.335,0.077,0.044,#FIELD!,TRUE,0.289,TRUE,3,23,Amp,,0.971,N,N,N,N,N,N,N,N
298,M10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.166,1.033,1.317,28.649,28.59,0.052,,0.259,0.109,0.063,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.984,N,N,N,N,N,N,N,N
299,M11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.166,1.033,1.317,28.568,28.59,0.052,,0.259,0.109,0.063,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.966,N,N,N,N,N,N,N,N
300,M12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.166,1.033,1.317,28.552,28.59,0.052,,0.259,0.109,0.063,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.978,N,N,N,N,N,N,N,N
301,M13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.107,1.031,1.188,27.411,27.381,0.056,,0.335,0.064,0.037,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.972,N,N,N,N,N,N,N,N
302,M14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.107,1.031,1.188,27.317,27.381,0.056,,0.335,0.064,0.037,#FIELD!,TRUE,0.289,TRUE,3,22,Amp,,0.968,N,N,N,N,N,N,N,N
303,M15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR12,UNKNOWN,FAM,NFQ-MGB,,,,1.107,1.031,1.188,27.415,27.381,0.056,,0.335,0.064,0.037,#FIELD!,TRUE,0.289,TRUE,3,21,Amp,,0.97,N,N,N,N,N,N,N,N
304,M16,FALSE,AIW001-05,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.507,29.327,0.164,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
305,M17,FALSE,AIW001-05,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.186,29.327,0.164,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
306,M18,FALSE,AIW001-05,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,29.287,29.327,0.164,,,,,,TRUE,0.302,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
307,M19,FALSE,3450-C 5A-KO-SA3,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.923,0.63,1.353,27.22,27.381,0.339,,0.114,0.344,0.199,0.116,TRUE,0.247,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
308,M20,FALSE,3450-C 5A-KO-SA3,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.923,0.63,1.353,27.153,27.381,0.339,,0.114,0.344,0.199,0.116,TRUE,0.247,TRUE,3,21,Amp,,0.975,N,N,N,N,N,N,N,N
309,M21,FALSE,3450-C 5A-KO-SA3,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,0.923,0.63,1.353,27.771,27.381,0.339,,0.114,0.344,0.199,0.116,TRUE,0.247,TRUE,3,25,Amp,,0.943,Y,N,N,N,N,N,N,N
310,M22,FALSE,3450-C 5A-KO-5A1,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.201,1.06,1.36,26.632,26.535,0.092,,#FIELD!,0.112,0.065,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.978,N,N,N,N,N,N,N,N
311,M23,FALSE,3450-C 5A-KO-5A1,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.201,1.06,1.36,26.525,26.535,0.092,,#FIELD!,0.112,0.065,#FIELD!,TRUE,0.247,TRUE,3,20,Amp,,0.972,N,N,N,N,N,N,N,N
312,M24,FALSE,3450-C 5A-KO-5A1,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.201,1.06,1.36,26.449,26.535,0.092,,#FIELD!,0.112,0.065,#FIELD!,TRUE,0.247,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
313,N1,FALSE,3450-C 5A-KO-SA3,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.99,0.895,1.094,27.482,27.535,0.067,,0.267,0.091,0.052,0.015,TRUE,0.337,TRUE,3,21,Amp,,0.99,N,N,N,N,N,N,N,N
314,N2,FALSE,3450-C 5A-KO-SA3,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.99,0.895,1.094,27.513,27.535,0.067,,0.267,0.091,0.052,0.015,TRUE,0.337,TRUE,3,21,Amp,,0.991,N,N,N,N,N,N,N,N
315,N3,FALSE,3450-C 5A-KO-SA3,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.99,0.895,1.094,27.61,27.535,0.067,,0.267,0.091,0.052,0.015,TRUE,0.337,TRUE,3,22,Amp,,0.987,N,N,N,N,N,N,N,N
316,N4,FALSE,3450-C 5A-KO-5A1,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.916,1.191,26.997,26.99,0.1,,0.19,0.118,0.068,#FIELD!,TRUE,0.337,TRUE,3,21,Amp,,0.991,N,N,N,N,N,N,N,N
317,N5,FALSE,3450-C 5A-KO-5A1,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.916,1.191,27.087,26.99,0.1,,0.19,0.118,0.068,#FIELD!,TRUE,0.337,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
318,N6,FALSE,3450-C 5A-KO-5A1,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.916,1.191,26.888,26.99,0.1,,0.19,0.118,0.068,#FIELD!,TRUE,0.337,TRUE,3,20,Amp,,0.983,N,N,N,N,N,N,N,N
319,N7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.988,0.92,1.061,28.642,28.614,0.024,,0.27,0.064,0.037,0.018,TRUE,0.337,TRUE,3,23,Amp,,0.99,N,N,N,N,N,N,N,N
320,N8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.988,0.92,1.061,28.602,28.614,0.024,,0.27,0.064,0.037,0.018,TRUE,0.337,TRUE,3,22,Amp,,0.961,N,N,N,N,N,N,N,N
321,N9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.988,0.92,1.061,28.599,28.614,0.024,,0.27,0.064,0.037,0.018,TRUE,0.337,TRUE,3,22,Amp,,0.967,N,N,N,N,N,N,N,N
322,N10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.977,0.821,1.163,28.744,28.616,0.124,,0.286,0.157,0.091,0.033,TRUE,0.337,TRUE,3,23,Amp,,0.987,N,N,N,N,N,N,N,N
323,N11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.977,0.821,1.163,28.496,28.616,0.124,,0.286,0.157,0.091,0.033,TRUE,0.337,TRUE,3,23,Amp,,0.979,N,N,N,N,N,N,N,N
324,N12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.977,0.821,1.163,28.609,28.616,0.124,,0.286,0.157,0.091,0.033,TRUE,0.337,TRUE,3,22,Amp,,0.987,N,N,N,N,N,N,N,N
325,N13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.977,0.892,1.071,27.366,27.331,0.077,,0.285,0.083,0.048,0.033,TRUE,0.337,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
326,N14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.977,0.892,1.071,27.385,27.331,0.077,,0.285,0.083,0.048,0.033,TRUE,0.337,TRUE,3,21,Amp,,0.97,N,N,N,N,N,N,N,N
327,N15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR18,UNKNOWN,FAM,NFQ-MGB,,,,0.977,0.892,1.071,27.244,27.331,0.077,,0.285,0.083,0.048,0.033,TRUE,0.337,TRUE,3,21,Amp,,0.968,N,N,N,N,N,N,N,N
328,N16,FALSE,AIW001-10,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.646,30.866,0.191,,,,,,TRUE,0.302,TRUE,3,25,Amp,,0.984,N,N,N,N,N,N,N,N
329,N17,FALSE,AIW001-10,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.98,30.866,0.191,,,,,,TRUE,0.302,TRUE,3,25,Amp,,0.988,N,N,N,N,N,N,N,N
330,N18,FALSE,AIW001-10,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.973,30.866,0.191,,,,,,TRUE,0.302,TRUE,3,25,Amp,,0.983,N,N,N,N,N,N,N,N
331,N19,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.075,0.981,1.179,28.171,28.238,0.058,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.985,N,N,N,N,N,N,N,N
332,N20,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.075,0.981,1.179,28.274,28.238,0.058,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.975,N,N,N,N,N,N,N,N
333,N21,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.075,0.981,1.179,28.269,28.238,0.058,,#FIELD!,0.083,0.048,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.905,Y,N,N,N,N,N,N,N
334,N22,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.144,1.027,1.274,28.132,28.135,0.013,,#FIELD!,0.097,0.056,#FIELD!,TRUE,0.247,TRUE,3,22,Amp,,0.973,N,N,N,N,N,N,N,N
335,N23,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.144,1.027,1.274,28.15,28.135,0.013,,#FIELD!,0.097,0.056,#FIELD!,TRUE,0.247,TRUE,3,23,Amp,,0.969,N,N,N,N,N,N,N,N
336,N24,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,1.144,1.027,1.274,28.125,28.135,0.013,,#FIELD!,0.097,0.056,#FIELD!,TRUE,0.247,TRUE,3,22,Amp,,0.969,N,N,N,N,N,N,N,N
337,O1,FALSE,3450-C 5A-KO-SA3,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.131,1.057,1.211,26.57,26.564,0.006,,#FIELD!,0.061,0.035,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.991,N,N,N,N,N,N,N,N
338,O2,FALSE,3450-C 5A-KO-SA3,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.131,1.057,1.211,26.564,26.564,0.006,,#FIELD!,0.061,0.035,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.989,N,N,N,N,N,N,N,N
339,O3,FALSE,3450-C 5A-KO-SA3,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.131,1.057,1.211,26.558,26.564,0.006,,#FIELD!,0.061,0.035,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.991,N,N,N,N,N,N,N,N
340,O4,FALSE,3450-C 5A-KO-5A1,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.214,1.105,1.334,25.958,25.995,0.055,,#FIELD!,0.085,0.049,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.989,N,N,N,N,N,N,N,N
341,O5,FALSE,3450-C 5A-KO-5A1,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.214,1.105,1.334,26.059,25.995,0.055,,#FIELD!,0.085,0.049,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.981,N,N,N,N,N,N,N,N
342,O6,FALSE,3450-C 5A-KO-5A1,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.214,1.105,1.334,25.968,25.995,0.055,,#FIELD!,0.085,0.049,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
343,O7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.199,1.104,1.301,27.562,27.557,0.044,,#FIELD!,0.074,0.043,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.982,N,N,N,N,N,N,N,N
344,O8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.199,1.104,1.301,27.598,27.557,0.044,,#FIELD!,0.074,0.043,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.986,N,N,N,N,N,N,N,N
345,O9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.199,1.104,1.301,27.511,27.557,0.044,,#FIELD!,0.074,0.043,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.99,N,N,N,N,N,N,N,N
346,O10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.156,0.99,1.351,27.699,27.596,0.102,,#FIELD!,0.14,0.081,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.985,N,N,N,N,N,N,N,N
347,O11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.156,0.99,1.351,27.495,27.596,0.102,,#FIELD!,0.14,0.081,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.988,N,N,N,N,N,N,N,N
348,O12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.156,0.99,1.351,27.593,27.596,0.102,,#FIELD!,0.14,0.081,#FIELD!,TRUE,0.144,TRUE,3,23,Amp,,0.977,N,N,N,N,N,N,N,N
349,O13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.072,1.035,1.11,26.427,26.421,0.006,,#FIELD!,0.031,0.018,#FIELD!,TRUE,0.144,TRUE,3,22,Amp,,0.983,N,N,N,N,N,N,N,N
350,O14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.072,1.035,1.11,26.415,26.421,0.006,,#FIELD!,0.031,0.018,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.977,N,N,N,N,N,N,N,N
351,O15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR20,UNKNOWN,FAM,NFQ-MGB,,,,1.072,1.035,1.11,26.421,26.421,0.006,,#FIELD!,0.031,0.018,#FIELD!,TRUE,0.144,TRUE,3,21,Amp,,0.978,N,N,N,N,N,N,N,N
355,O19,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,9.36,0.02,"4,360.78",27.018,23.818,5.53,,#FIELD!,5.53,3.193,#FIELD!,TRUE,0.247,TRUE,3,22,Amp,,0.964,N,N,N,N,Y,N,Y,N
356,O20,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,9.36,0.02,"4,360.78",27.003,23.818,5.53,,#FIELD!,5.53,3.193,#FIELD!,TRUE,0.247,TRUE,3,22,Amp,,0.965,N,N,N,N,Y,N,N,N
357,O21,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,9.36,0.02,"4,360.78",,23.818,5.53,,#FIELD!,5.53,3.193,#FIELD!,TRUE,0.247,TRUE,3,34,No Amp,,0,Y,Y,N,N,Y,N,N,Y
358,O22,FALSE,,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.247,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,N,Y,N,N
359,O23,FALSE,,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.247,TRUE,3,39,No Amp,,0,Y,Y,Y,Y,N,Y,N,N
360,O24,FALSE,,CHR17,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.247,TRUE,3,22,No Amp,,0,Y,Y,N,Y,N,Y,N,N
361,P1,FALSE,3450-C 5A-KO-SA3,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.603,0.558,0.652,28.049,28.011,0.033,,0.744,0.07,0.04,0.729,TRUE,0.302,TRUE,3,22,Amp,,0.989,N,N,N,N,N,N,N,N
362,P2,FALSE,3450-C 5A-KO-SA3,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.603,0.558,0.652,27.986,28.011,0.033,,0.744,0.07,0.04,0.729,TRUE,0.302,TRUE,3,22,Amp,,0.991,N,N,N,N,N,N,N,N
363,P3,FALSE,3450-C 5A-KO-SA3,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.603,0.558,0.652,27.998,28.011,0.033,,0.744,0.07,0.04,0.729,TRUE,0.302,TRUE,3,22,Amp,,0.989,N,N,N,N,N,N,N,N
364,P4,FALSE,3450-C 5A-KO-5A1,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.604,0.548,0.665,27.505,27.544,0.059,,0.743,0.087,0.05,0.728,TRUE,0.302,TRUE,3,21,Amp,,0.987,N,N,N,N,N,N,N,N
365,P5,FALSE,3450-C 5A-KO-5A1,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.604,0.548,0.665,27.513,27.544,0.059,,0.743,0.087,0.05,0.728,TRUE,0.302,TRUE,3,22,Amp,,0.989,N,N,N,N,N,N,N,N
366,P6,FALSE,3450-C 5A-KO-5A1,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.604,0.548,0.665,27.612,27.544,0.059,,0.743,0.087,0.05,0.728,TRUE,0.302,TRUE,3,21,Amp,,0.98,N,N,N,N,N,N,N,N
367,P7,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.636,0.578,0.699,29.032,29.012,0.061,,0.668,0.085,0.049,0.653,TRUE,0.302,TRUE,3,22,Amp,,0.985,N,N,N,N,N,N,N,N
368,P8,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.636,0.578,0.699,29.061,29.012,0.061,,0.668,0.085,0.049,0.653,TRUE,0.302,TRUE,3,22,Amp,,0.986,N,N,N,N,N,N,N,N
369,P9,FALSE,GALC KO 8A AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.636,0.578,0.699,28.943,29.012,0.061,,0.668,0.085,0.049,0.653,TRUE,0.302,TRUE,3,23,Amp,,0.99,N,N,N,N,N,N,N,N
370,P10,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.591,0.511,0.683,29.152,29.105,0.088,,0.774,0.13,0.075,0.76,TRUE,0.302,TRUE,3,24,Amp,,0.976,N,N,N,N,N,N,N,N
371,P11,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.591,0.511,0.683,29.003,29.105,0.088,,0.774,0.13,0.075,0.76,TRUE,0.302,TRUE,3,23,Amp,,0.977,N,N,N,N,N,N,N,N
372,P12,FALSE,SMPD1 KO 11B AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.591,0.511,0.683,29.159,29.105,0.088,,0.774,0.13,0.075,0.76,TRUE,0.302,TRUE,3,23,Amp,,0.973,N,N,N,N,N,N,N,N
373,P13,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.542,0.512,0.574,27.973,27.943,0.041,,0.897,0.052,0.03,0.883,TRUE,0.302,TRUE,3,22,Amp,,0.988,N,N,N,N,N,N,N,N
374,P14,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.542,0.512,0.574,27.962,27.943,0.041,,0.897,0.052,0.03,0.883,TRUE,0.302,TRUE,3,22,Amp,,0.978,N,N,N,N,N,N,N,N
375,P15,FALSE,ASAH1 KO 9A AIW2-2 P5+P10+P4,CHRX,UNKNOWN,FAM,NFQ-MGB,,,,0.542,0.512,0.574,27.896,27.943,0.041,,0.897,0.052,0.03,0.883,TRUE,0.302,TRUE,3,22,Amp,,0.976,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,CHR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,