,,,,,NormQuant,NormQuant,NormQuant,NormSEM
,,,,,size,mean,std,mean
Target Name,Sample Name,Region,T_R,Treatment,,,,
NRXN3,B4bisNST,STN,STN_Control,Control,3.0,0.25637314032971453,0.04477465574309399,0.02585065954614815
NRXN3,B6NST,STN,STN_Control,Control,2.0,0.19326386304428728,0.0026842162888361712,0.001898027540007438
NRXN3,R6 NST,STN,STN_Control,Control,3.0,0.3289778206364513,0.036433240271248765,0.021034741078055776
NRXN3,V3 NST,STN,STN_Control,Control,3.0,0.2845359564978311,0.046649494646523626,0.02693309829173043
NRXN3,V4 NST,STN,STN_Control,Control,2.0,0.32590361445783134,0.016842117031041947,0.011909175162187202
NRXN3,R5bis NST,STN,STN_Cocaine,Cocaine,3.0,0.4115839542029717,0.08137919906421559,0.04698430248616101
NRXN3,R6bisNST,STN,STN_Cocaine,Cocaine,2.0,0.17078426459533952,0.0028702405049416072,0.002029566524680518
NRXN3,R8bisNST,STN,STN_Cocaine,Cocaine,2.0,0.42528236316246737,0.05246474293078295,0.037098175499565594
NRXN3,V2NST,STN,STN_Cocaine,Cocaine,2.0,0.1986802303899225,0.016305677857303854,0.011529855384742894
NRXN3,V8NST,STN,STN_Cocaine,Cocaine,2.0,0.18178360101437027,0.10561772462862463,0.0746830092983939
NRXN3,B4bisGP,GP,GP_Control,Control,2.0,0.2541155866900175,0.030298679357321966,0.021424401634559234
NRXN3,R6 GP,GP,GP_Control,Control,3.0,0.7106743573310546,0.06082155436815766,0.035115340786987304
NRXN3,V3 GP,GP,GP_Control,Control,2.0,0.41246699575249685,0.04269752805695377,0.03019171162897488
NRXN3,V4 GP,GP,GP_Control,Control,2.0,0.2990979381443299,0.052668520557451574,0.037242268041237085
NRXN3,R5bis GP,GP,GP_Cocaine,Cocaine,3.0,0.49879532586435377,0.10943091608286662,0.0631799688581104
NRXN3,R6bisGP,GP,GP_Cocaine,Cocaine,2.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,GP,GP_Cocaine,Cocaine,2.0,1.0168811746578448,0.001249758201136386,0.0008837124988670952
NRXN3,V2GP,GP,GP_Cocaine,Cocaine,3.0,0.8537529017281402,0.1465295492565234,0.08459887470748835
NRXN3,V8GP,GP,GP_Cocaine,Cocaine,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
NRXN3,B4bisSN,SN,SN_Control,Control,3.0,0.7317138022721777,0.2655291672116612,0.15330333616734976
NRXN3,R6 SN,SN,SN_Control,Control,3.0,0.8750942989546285,0.4046380788260678,0.23361790373460325
NRXN3,V3 SN,SN,SN_Control,Control,3.0,1.1553414845004324,0.3097867986298227,0.17885549158032055
NRXN3,V4 SN,SN,SN_Control,Control,2.0,0.8939890483697006,0.12768753913984246,0.09028872479880527
NRXN3,R5bis SN,SN,SN_Cocaine,Cocaine,2.0,1.2379328436516261,0.17251031125485022,0.12198321091290654
NRXN3,R6bisSN,SN,SN_Cocaine,Cocaine,3.0,1.001639344262295,0.3142175447442757,0.1814135840422109
NRXN3,R8bisSN,SN,SN_Cocaine,Cocaine,3.0,0.43931930138826686,0.05676742773389547,0.032774689683367185
NRXN3,V2SN,SN,SN_Cocaine,Cocaine,3.0,1.0196119196119195,0.14490664375873114,0.08366188978146864
NRXN3,V8SN,SN,SN_Cocaine,Cocaine,2.0,2.2978621569878745,0.025495554012150295,0.018028079132099473
B2M,B4bisNST,STN,STN_Control,Control,2.0,1.0,0.040373607932645675,0.02854845195014071
B2M,B6NST,STN,STN_Control,Control,2.0,1.0,0.057368544212380815,0.0405656866393747
B2M,R6 NST,STN,STN_Control,Control,3.0,1.0000000000000002,0.14954873167107657,0.08634200048726319
B2M,V3 NST,STN,STN_Control,Control,3.0,1.0,0.15282399201314403,0.0882329729274219
B2M,V4 NST,STN,STN_Control,Control,2.0,1.0,0.0,0.0
B2M,R5bis NST,STN,STN_Cocaine,Cocaine,2.0,0.9999999999999999,0.23983947648277143,0.16959212021719916
B2M,R6bisNST,STN,STN_Cocaine,Cocaine,3.0,1.0,0.08866240637351513,0.05118926418674894
B2M,R8bisNST,STN,STN_Cocaine,Cocaine,2.0,1.0,0.09583723533023578,0.06776715899218072
B2M,V2NST,STN,STN_Cocaine,Cocaine,3.0,1.0,0.37319897581590544,0.21546652914860565
B2M,V8NST,STN,STN_Cocaine,Cocaine,2.0,1.0,0.1769261261464227,0.12510566356720204
B2M,B4bisGP,GP,GP_Control,Control,2.0,1.0,0.015685964789894234,0.011091652072387659
B2M,R6 GP,GP,GP_Control,Control,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,GP,GP_Control,Control,2.0,1.0,0.021592286051615405,0.015268051888416956
B2M,V4 GP,GP,GP_Control,Control,2.0,1.0,0.03571982709086698,0.02525773195876296
B2M,R5bis GP,GP,GP_Cocaine,Cocaine,3.0,1.0,0.2126402305188051,0.12276789433057624
B2M,R6bisGP,GP,GP_Cocaine,Cocaine,2.0,1.0,0.5512291172897462,0.3897778468230543
B2M,R8bisGP,GP,GP_Cocaine,Cocaine,3.0,1.0000000000000002,0.1503034120980236,0.08677771543491318
B2M,V2GP,GP,GP_Cocaine,Cocaine,2.0,1.0,0.1645113016843606,0.11632705700283724
B2M,V8GP,GP,GP_Cocaine,Cocaine,2.0,1.0,0.23640034788632125,0.16716028906527663
B2M,B4bisSN,SN,SN_Control,Control,3.0,0.9999999999999997,0.19658342742552568,0.11349749474234654
B2M,R6 SN,SN,SN_Control,Control,2.0,1.0,0.03429227842805764,0.024248302618816716
B2M,V3 SN,SN,SN_Control,Control,2.0,1.0,0.15708826454222083,0.11107817710263067
B2M,V4 SN,SN,SN_Control,Control,3.0,1.0,0.2774777299037759,0.1602018420540713
B2M,R5bis SN,SN,SN_Cocaine,Cocaine,3.0,1.0,0.11670095072643862,0.06737732531659459
B2M,R6bisSN,SN,SN_Cocaine,Cocaine,3.0,1.0,0.1834572607180722,0.10591909886037036
B2M,R8bisSN,SN,SN_Cocaine,Cocaine,2.0,1.0,0.04749933595073099,0.03358710255261982
B2M,V2SN,SN,SN_Cocaine,Cocaine,2.0,1.0,0.32194674652776295,0.2276507276507277
B2M,V8SN,SN,SN_Cocaine,Cocaine,2.0,1.0,0.25089430142930474,0.17740906190172304
