Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-04-29 13:45:58 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Gilles\GBA Project\2019-04-26_110439-GRIN1-2.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,2019-04-25_135946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-04-26 08:50:09 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      272321808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272321808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudioâ„¢ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD,NOAMP
1,A1,0,AiW001-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,32.411,32.951,0.495,0.229,0.169,0.054,30.049,0.994,-3.690,86.627,1,0.267,1,3,27,Amp,,0.960,N,N,N,N
2,A2,0,AiW001-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,33.381,32.951,0.495,0.125,0.169,0.054,30.049,0.994,-3.690,86.627,1,0.267,1,3,28,Amp,,0.972,N,N,N,N
3,A3,0,AiW001-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,33.062,32.951,0.495,0.153,0.169,0.054,30.049,0.994,-3.690,86.627,1,0.267,1,3,28,Amp,,0.974,N,N,N,N
4,A4,0,AJC001-5-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,39,No Amp,,0.000,Y,Y,N,Y
5,A5,0,AJC001-5-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,39,No Amp,,0.000,Y,Y,N,Y
6,A6,0,AJC001-5-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,39,No Amp,,0.000,Y,Y,N,Y
7,A7,0,522-266-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,35.791,35.791,,0.028,0.028,,30.049,0.994,-3.690,86.627,1,0.267,1,3,30,Amp,,0.935,N,N,N,N
8,A8,0,522-266-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.791,,,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,39,No Amp,,0.000,Y,Y,N,Y
9,A9,0,522-266-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.791,,,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,39,No Amp,,0.000,Y,Y,N,Y
10,A10,0,,GRIN1,STANDARD,FAM,NFQ-MGB,24.030,23.951,0.070,50.000,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.980,N,N,N,N
11,A11,0,,GRIN1,STANDARD,FAM,NFQ-MGB,23.925,23.951,0.070,50.000,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.990,N,N,N,N
12,A12,0,,GRIN1,STANDARD,FAM,NFQ-MGB,23.897,23.951,0.070,50.000,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.988,N,N,N,N
13,B1,0,AiW001-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,28.307,28.543,0.254,2.964,2.580,0.401,30.049,0.994,-3.690,86.627,1,0.267,1,3,23,Amp,,0.986,N,N,N,N
14,B2,0,AiW001-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,28.510,28.543,0.254,2.612,2.580,0.401,30.049,0.994,-3.690,86.627,1,0.267,1,3,23,Amp,,0.984,N,N,N,N
15,B3,0,AiW001-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,28.811,28.543,0.254,2.164,2.580,0.401,30.049,0.994,-3.690,86.627,1,0.267,1,3,23,Amp,,0.982,N,N,N,N
16,B4,0,AJC001-5-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,30.645,30.852,0.182,0.689,0.608,0.071,30.049,0.994,-3.690,86.627,1,0.267,1,3,25,Amp,,0.979,N,N,N,N
17,B5,0,AJC001-5-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,30.926,30.852,0.182,0.578,0.608,0.071,30.049,0.994,-3.690,86.627,1,0.267,1,3,25,Amp,,0.973,N,N,N,N
18,B6,0,AJC001-5-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,30.985,30.852,0.182,0.558,0.608,0.071,30.049,0.994,-3.690,86.627,1,0.267,1,3,25,Amp,,0.985,N,N,N,N
19,B7,0,522-266-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,30.129,30.131,0.094,0.951,0.951,0.055,30.049,0.994,-3.690,86.627,1,0.267,1,3,24,Amp,,0.986,N,N,N,N
20,B8,0,522-266-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,30.225,30.131,0.094,0.896,0.951,0.055,30.049,0.994,-3.690,86.627,1,0.267,1,3,24,Amp,,0.981,N,N,N,N
21,B9,0,522-266-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,30.038,30.131,0.094,1.007,0.951,0.055,30.049,0.994,-3.690,86.627,1,0.267,1,3,23,Amp,,0.989,N,N,N,N
22,B10,0,,GRIN1,STANDARD,FAM,NFQ-MGB,25.949,26.071,0.117,12.500,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,21,Amp,,0.988,N,N,N,N
23,B11,0,,GRIN1,STANDARD,FAM,NFQ-MGB,26.081,26.071,0.117,12.500,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.991,N,N,N,N
24,B12,0,,GRIN1,STANDARD,FAM,NFQ-MGB,26.183,26.071,0.117,12.500,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,21,Amp,,0.991,N,N,N,N
25,C1,0,AiW001-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.325,23.441,0.219,66.375,62.124,8.148,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.991,N,N,N,N
26,C2,0,AiW001-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.303,23.441,0.219,67.268,62.124,8.148,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.988,N,N,N,N
27,C3,0,AiW001-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.694,23.441,0.219,52.730,62.124,8.148,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.983,N,N,N,N
28,C4,0,AJC001-5-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.832,23.917,0.088,48.360,45.922,2.509,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.991,N,N,N,N
29,C5,0,AJC001-5-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.911,23.917,0.088,46.059,45.922,2.509,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.989,N,N,N,N
30,C6,0,AJC001-5-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.008,23.917,0.088,43.347,45.922,2.509,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.987,N,N,N,N
31,C7,0,522-266-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.469,22.549,0.075,113.218,107.782,5.085,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.986,N,N,N,N
32,C8,0,522-266-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.618,22.549,0.075,103.143,107.782,5.085,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.989,N,N,N,N
33,C9,0,522-266-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.560,22.549,0.075,106.985,107.782,5.085,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.987,N,N,N,N
34,C10,0,,GRIN1,STANDARD,FAM,NFQ-MGB,27.747,28.079,0.295,3.125,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,20,Amp,,0.989,N,N,N,N
35,C11,0,,GRIN1,STANDARD,FAM,NFQ-MGB,28.182,28.079,0.295,3.125,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,23,Amp,,0.993,N,N,N,N
36,C12,0,,GRIN1,STANDARD,FAM,NFQ-MGB,28.310,28.079,0.295,3.125,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,23,Amp,,0.989,N,N,N,N
37,D1,0,AiW001-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.779,23.841,0.093,49.994,48.140,2.745,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.992,N,N,N,N
38,D2,0,AiW001-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.797,23.841,0.093,49.440,48.140,2.745,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.989,N,N,N,N
39,D3,0,AiW001-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.948,23.841,0.093,44.987,48.140,2.745,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.993,N,N,N,N
40,D4,0,AJC001-5-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.678,23.740,0.065,53.261,51.259,2.074,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.986,N,N,N,N
41,D5,0,AJC001-5-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.735,23.740,0.065,51.397,51.259,2.074,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.988,N,N,N,N
42,D6,0,AJC001-5-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.807,23.740,0.065,49.119,51.259,2.074,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.985,N,N,N,N
43,D7,0,522-266-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.016,22.082,0.081,150.238,144.235,7.201,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.989,N,N,N,N
44,D8,0,522-266-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.059,22.082,0.081,146.217,144.235,7.201,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.985,N,N,N,N
45,D9,0,522-266-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.172,22.082,0.081,136.250,144.235,7.201,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.986,N,N,N,N
46,D10,0,,GRIN1,STANDARD,FAM,NFQ-MGB,29.986,30.176,0.266,0.781,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,24,Amp,,0.995,N,N,N,N
47,D11,0,,GRIN1,STANDARD,FAM,NFQ-MGB,30.479,30.176,0.266,0.781,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,24,Amp,,0.991,N,N,N,N
48,D12,0,,GRIN1,STANDARD,FAM,NFQ-MGB,30.062,30.176,0.266,0.781,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,25,Amp,,0.993,N,N,N,N
49,E1,0,AiW002-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,38.039,36.032,1.758,0.007,0.033,0.023,30.049,0.994,-3.690,86.627,1,0.267,1,3,32,Inconclusive,,0.833,N,N,Y,N
50,E2,0,AiW002-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,35.291,36.032,1.758,0.038,0.033,0.023,30.049,0.994,-3.690,86.627,1,0.267,1,3,29,Amp,,0.959,N,N,Y,N
51,E3,0,AiW002-2-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,34.765,36.032,1.758,0.053,0.033,0.023,30.049,0.994,-3.690,86.627,1,0.267,1,3,29,Amp,,0.954,N,N,Y,N
52,E4,0,AJG001C4-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,37.444,36.862,1.272,0.010,0.018,0.015,30.049,0.994,-3.690,86.627,1,0.267,1,3,32,Amp,,0.860,N,N,Y,N
53,E5,0,AJG001C4-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,37.738,36.862,1.272,0.008,0.018,0.015,30.049,0.994,-3.690,86.627,1,0.267,1,3,32,Amp,,0.851,N,N,Y,N
54,E6,0,AJG001C4-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,35.403,36.862,1.272,0.035,0.018,0.015,30.049,0.994,-3.690,86.627,1,0.267,1,3,30,Amp,,0.956,N,N,Y,N
55,E7,0,NCRM1-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,36.976,35.986,1.329,0.013,0.031,0.028,30.049,0.994,-3.690,86.627,1,0.267,1,3,31,Amp,,0.931,N,N,Y,N
56,E8,0,NCRM1-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,36.506,35.986,1.329,0.018,0.031,0.028,30.049,0.994,-3.690,86.627,1,0.267,1,3,31,Amp,,0.935,N,N,Y,N
57,E9,0,NCRM1-IPSC,GRIN1,UNKNOWN,FAM,NFQ-MGB,34.475,35.986,1.329,0.063,0.031,0.028,30.049,0.994,-3.690,86.627,1,0.267,1,3,29,Amp,,0.976,N,N,Y,N
58,E10,0,,GRIN1,STANDARD,FAM,NFQ-MGB,32.427,32.497,0.212,0.195,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,26,Amp,,0.986,N,N,N,N
59,E11,0,,GRIN1,STANDARD,FAM,NFQ-MGB,32.329,32.497,0.212,0.195,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,26,Amp,,0.983,N,N,N,N
60,E12,0,,GRIN1,STANDARD,FAM,NFQ-MGB,32.736,32.497,0.212,0.195,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,27,Amp,,0.988,N,N,N,N
61,F1,0,AiW002-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,27.242,27.270,0.054,5.760,5.664,0.189,30.049,0.994,-3.690,86.627,1,0.267,1,3,22,Amp,,0.989,N,N,N,N
62,F2,0,AiW002-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,27.235,27.270,0.054,5.786,5.664,0.189,30.049,0.994,-3.690,86.627,1,0.267,1,3,22,Amp,,0.980,N,N,N,N
63,F3,0,AiW002-2-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,27.332,27.270,0.054,5.447,5.664,0.189,30.049,0.994,-3.690,86.627,1,0.267,1,3,22,Amp,,0.985,N,N,N,N
64,F4,0,AJG001C4-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,32.832,33.047,0.197,0.176,0.155,0.019,30.049,0.994,-3.690,86.627,1,0.267,1,3,27,Amp,,0.963,N,N,N,N
65,F5,0,AJG001C4-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,33.092,33.047,0.197,0.150,0.155,0.019,30.049,0.994,-3.690,86.627,1,0.267,1,3,27,Amp,,0.963,N,N,N,N
66,F6,0,AJG001C4-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,33.217,33.047,0.197,0.138,0.155,0.019,30.049,0.994,-3.690,86.627,1,0.267,1,3,26,Amp,,0.957,N,N,N,N
67,F7,0,NCRM1-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,26.131,26.280,0.130,11.524,10.526,0.873,30.049,0.994,-3.690,86.627,1,0.267,1,3,21,Amp,,0.982,N,N,N,N
68,F8,0,NCRM1-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,26.373,26.280,0.130,9.907,10.526,0.873,30.049,0.994,-3.690,86.627,1,0.267,1,3,21,Amp,,0.987,N,N,N,N
69,F9,0,NCRM1-NPC,GRIN1,UNKNOWN,FAM,NFQ-MGB,26.335,26.280,0.130,10.145,10.526,0.873,30.049,0.994,-3.690,86.627,1,0.267,1,3,20,Amp,,0.988,N,N,N,N
70,F10,0,,GRIN1,STANDARD,FAM,NFQ-MGB,35.426,35.396,0.043,0.049,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,30,Amp,,0.965,N,N,N,N
71,F11,0,,GRIN1,STANDARD,FAM,NFQ-MGB,35.366,35.396,0.043,0.049,,,30.049,0.994,-3.690,86.627,1,0.267,1,3,29,Amp,,0.964,N,N,N,N
73,G1,0,AiW002-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.184,24.341,0.137,38.838,35.287,3.084,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.985,N,N,N,N
74,G2,0,AiW002-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.409,24.341,0.137,33.740,35.287,3.084,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.989,N,N,N,N
75,G3,0,AiW002-2-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.431,24.341,0.137,33.282,35.287,3.084,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.991,N,N,N,N
76,G4,0,AJG001C4-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.827,22.918,0.081,90.554,85.634,4.356,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.989,N,N,N,N
77,G5,0,AJG001C4-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.946,22.918,0.081,84.078,85.634,4.356,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.983,N,N,N,N
78,G6,0,AJG001C4-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.981,22.918,0.081,82.270,85.634,4.356,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.986,N,N,N,N
79,G7,0,NCRM1-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.115,22.212,0.114,141.219,133.128,9.361,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.989,N,N,N,N
80,G8,0,NCRM1-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.184,22.212,0.114,135.290,133.128,9.361,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.989,N,N,N,N
81,G9,0,NCRM1-DA4W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.338,22.212,0.114,122.875,133.128,9.361,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.988,N,N,N,N
85,H1,0,AiW002-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.792,24.905,0.099,26.571,24.801,1.553,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.987,N,N,N,N
86,H2,0,AiW002-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.944,24.905,0.099,24.169,24.801,1.553,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.988,N,N,N,N
87,H3,0,AiW002-2-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,24.978,24.905,0.099,23.663,24.801,1.553,30.049,0.994,-3.690,86.627,1,0.267,1,3,19,Amp,,0.987,N,N,N,N
88,H4,0,AJG001C4-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.742,23.028,0.347,95.464,81.106,16.715,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.988,N,N,N,N
89,H5,0,AJG001C4-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.927,23.028,0.347,85.097,81.106,16.715,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.984,N,N,N,N
90,H6,0,AJG001C4-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,23.415,23.028,0.347,62.757,81.106,16.715,30.049,0.994,-3.690,86.627,1,0.267,1,3,18,Amp,,0.984,N,N,N,N
91,H7,0,NCRM1-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.096,22.318,0.193,142.884,124.993,15.507,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.988,N,N,N,N
92,H8,0,NCRM1-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.438,22.318,0.193,115.422,124.993,15.507,30.049,0.994,-3.690,86.627,1,0.267,1,3,16,Amp,,0.987,N,N,N,N
93,H9,0,NCRM1-DA6W,GRIN1,UNKNOWN,FAM,NFQ-MGB,22.421,22.318,0.193,116.673,124.993,15.507,30.049,0.994,-3.690,86.627,1,0.267,1,3,17,Amp,,0.987,N,N,N,N
