Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,D1,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.652,1.534,26.108,25.793,0.318,,4.753,0.452,0.261,0.000,TRUE,0.215,TRUE,3,21,Amp,,0.856,N,N,N,N,N,N,N,N,N,N,N
74,D2,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.652,1.534,25.799,25.793,0.318,,4.753,0.452,0.261,0.000,TRUE,0.215,TRUE,3,21,Amp,,0.864,N,N,N,N,N,N,N,N,N,N,N
75,D3,FALSE,H9,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.652,1.534,25.471,25.793,0.318,,4.753,0.452,0.261,0.000,TRUE,0.215,TRUE,3,21,Amp,,0.895,N,N,N,N,N,N,N,N,N,N,N
76,D4,FALSE,AIW001-02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.771,0.713,0.835,26.033,26.072,0.057,,5.127,0.084,0.048,0.375,TRUE,0.215,TRUE,3,21,Amp,,0.881,N,N,N,N,N,N,N,N,N,N,N
77,D5,FALSE,AIW001-02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.771,0.713,0.835,26.138,26.072,0.057,,5.127,0.084,0.048,0.375,TRUE,0.215,TRUE,3,22,Amp,,0.924,N,N,N,N,N,N,N,N,N,N,N
78,D6,FALSE,AIW001-02,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.771,0.713,0.835,26.046,26.072,0.057,,5.127,0.084,0.048,0.375,TRUE,0.215,TRUE,3,21,Amp,,0.907,N,N,N,N,N,N,N,N,N,N,N
79,D7,FALSE,AIW002-2,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.438,0.304,0.632,26.424,26.168,0.260,,5.944,0.388,0.224,1.191,TRUE,0.215,TRUE,3,21,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
80,D8,FALSE,AIW002-2,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.438,0.304,0.632,26.176,26.168,0.260,,5.944,0.388,0.224,1.191,TRUE,0.215,TRUE,3,20,Amp,,0.914,N,N,N,N,N,N,N,N,N,N,N
81,D9,FALSE,AIW002-2,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.438,0.304,0.632,25.904,26.168,0.260,,5.944,0.388,0.224,1.191,TRUE,0.215,TRUE,3,21,Amp,,0.939,N,N,N,N,N,N,N,N,N,N,N
82,D10,FALSE,AJC001-5,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.204,1.046,1.385,25.720,25.751,0.122,,4.485,0.148,0.086,-0.268,TRUE,0.215,TRUE,3,20,Amp,,0.949,N,N,N,N,N,N,N,N,N,N,N
83,D11,FALSE,AJC001-5,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.204,1.046,1.385,25.885,25.751,0.122,,4.485,0.148,0.086,-0.268,TRUE,0.215,TRUE,3,21,Amp,,0.911,N,N,N,N,N,N,N,N,N,N,N
84,D12,FALSE,AJC001-5,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.204,1.046,1.385,25.647,25.751,0.122,,4.485,0.148,0.086,-0.268,TRUE,0.215,TRUE,3,21,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
85,D13,FALSE,AJD002-3,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.279,1.084,1.509,25.844,25.944,0.129,,4.397,0.175,0.101,-0.355,TRUE,0.215,TRUE,3,21,Amp,,0.959,N,N,N,N,N,N,N,N,N,N,N
86,D14,FALSE,AJD002-3,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.279,1.084,1.509,26.090,25.944,0.129,,4.397,0.175,0.101,-0.355,TRUE,0.215,TRUE,3,21,Amp,,0.909,N,N,N,N,N,N,N,N,N,N,N
87,D15,FALSE,AJD002-3,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.279,1.084,1.509,25.898,25.944,0.129,,4.397,0.175,0.101,-0.355,TRUE,0.215,TRUE,3,21,Amp,,0.909,N,N,N,N,N,N,N,N,N,N,N
88,D16,FALSE,AJG001-C4,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.545,0.440,0.676,26.536,26.344,0.186,,5.627,0.227,0.131,0.875,TRUE,0.215,TRUE,3,21,Amp,,0.900,N,N,N,N,N,N,N,N,N,N,N
89,D17,FALSE,AJG001-C4,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.545,0.440,0.676,26.330,26.344,0.186,,5.627,0.227,0.131,0.875,TRUE,0.215,TRUE,3,22,Amp,,0.908,N,N,N,N,N,N,N,N,N,N,N
90,D18,FALSE,AJG001-C4,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,0.545,0.440,0.676,26.165,26.344,0.186,,5.627,0.227,0.131,0.875,TRUE,0.215,TRUE,3,22,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
91,D19,FALSE,#3448,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.520,1.330,1.738,26.133,26.036,0.117,,4.148,0.141,0.082,-0.604,TRUE,0.215,TRUE,3,21,Amp,,0.925,N,N,N,N,N,N,N,N,N,N,N
92,D20,FALSE,#3448,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.520,1.330,1.738,26.071,26.036,0.117,,4.148,0.141,0.082,-0.604,TRUE,0.215,TRUE,3,21,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
93,D21,FALSE,#3448,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.520,1.330,1.738,25.906,26.036,0.117,,4.148,0.141,0.082,-0.604,TRUE,0.215,TRUE,3,21,Amp,,0.894,N,N,N,N,N,N,N,N,N,N,N
94,D22,FALSE,#3450,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.647,0.987,2.750,26.305,25.816,0.424,,4.033,0.542,0.313,-0.720,TRUE,0.215,TRUE,3,21,Amp,,0.802,N,N,N,N,N,N,N,N,N,N,N
95,D23,FALSE,#3450,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.647,0.987,2.750,25.609,25.816,0.424,,4.033,0.542,0.313,-0.720,TRUE,0.215,TRUE,3,21,Amp,,0.888,N,N,N,N,N,N,N,N,N,N,N
96,D24,FALSE,#3450,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.647,0.987,2.750,25.536,25.816,0.424,,4.033,0.542,0.313,-0.720,TRUE,0.215,TRUE,3,20,Amp,,0.886,N,N,N,N,N,N,N,N,N,N,N
97,E1,FALSE,H9,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.634,1.577,20.610,20.247,0.358,,-0.793,0.481,0.278,0.000,TRUE,0.167,TRUE,3,16,Amp,,0.829,N,N,N,N,N,N,N,N,N,N,N
98,E2,FALSE,H9,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.634,1.577,20.237,20.247,0.358,,-0.793,0.481,0.278,0.000,TRUE,0.167,TRUE,3,16,Amp,,0.875,N,N,N,N,N,N,N,N,N,N,N
99,E3,FALSE,H9,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.634,1.577,19.894,20.247,0.358,,-0.793,0.481,0.278,0.000,TRUE,0.167,TRUE,3,15,Amp,,0.840,N,N,N,N,N,N,N,N,N,N,N
100,E4,FALSE,AIW001-02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.040,0.819,1.320,20.021,20.096,0.245,,-0.849,0.252,0.146,-0.056,TRUE,0.167,TRUE,3,15,Amp,,0.822,N,N,N,N,N,N,N,N,N,N,N
101,E5,FALSE,AIW001-02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.040,0.819,1.320,19.897,20.096,0.245,,-0.849,0.252,0.146,-0.056,TRUE,0.167,TRUE,3,15,Amp,,0.845,N,N,N,N,N,N,N,N,N,N,N
102,E6,FALSE,AIW001-02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.040,0.819,1.320,20.370,20.096,0.245,,-0.849,0.252,0.146,-0.056,TRUE,0.167,TRUE,3,15,Amp,,0.824,N,N,N,N,N,N,N,N,N,N,N
103,E7,FALSE,AIW002-2,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.689,0.400,1.187,20.346,19.970,0.498,,-0.254,0.575,0.332,0.538,TRUE,0.167,TRUE,3,16,Amp,,0.846,N,N,N,N,N,N,N,N,N,N,N
104,E8,FALSE,AIW002-2,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.689,0.400,1.187,20.160,19.970,0.498,,-0.254,0.575,0.332,0.538,TRUE,0.167,TRUE,3,16,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
105,E9,FALSE,AIW002-2,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.689,0.400,1.187,19.405,19.970,0.498,,-0.254,0.575,0.332,0.538,TRUE,0.167,TRUE,3,16,Amp,,0.858,N,N,N,N,N,N,N,N,N,N,N
106,E10,FALSE,AJC001-5,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.526,1.217,1.912,20.071,19.863,0.223,,-1.402,0.239,0.138,-0.609,TRUE,0.167,TRUE,3,15,Amp,,0.833,N,N,N,N,N,N,N,N,N,N,N
107,E11,FALSE,AJC001-5,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.526,1.217,1.912,19.892,19.863,0.223,,-1.402,0.239,0.138,-0.609,TRUE,0.167,TRUE,3,15,Amp,,0.871,N,N,N,N,N,N,N,N,N,N,N
108,E12,FALSE,AJC001-5,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.526,1.217,1.912,19.627,19.863,0.223,,-1.402,0.239,0.138,-0.609,TRUE,0.167,TRUE,3,16,Amp,,0.891,N,N,N,N,N,N,N,N,N,N,N
109,E13,FALSE,AJD002-3,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.563,1.271,1.922,20.322,20.109,0.184,,-1.437,0.219,0.126,-0.644,TRUE,0.167,TRUE,3,16,Amp,,0.864,N,N,N,N,N,N,N,N,N,N,N
110,E14,FALSE,AJD002-3,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.563,1.271,1.922,20.011,20.109,0.184,,-1.437,0.219,0.126,-0.644,TRUE,0.167,TRUE,3,16,Amp,,0.882,N,N,N,N,N,N,N,N,N,N,N
111,E15,FALSE,AJD002-3,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.563,1.271,1.922,19.995,20.109,0.184,,-1.437,0.219,0.126,-0.644,TRUE,0.167,TRUE,3,15,Amp,,0.835,N,N,N,N,N,N,N,N,N,N,N
112,E16,FALSE,AJG001-C4,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.901,0.754,1.076,20.076,20.074,0.135,,-0.642,0.188,0.109,0.151,TRUE,0.167,TRUE,3,16,Amp,,0.843,N,N,N,N,N,N,N,N,N,N,N
113,E17,FALSE,AJG001-C4,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.901,0.754,1.076,19.939,20.074,0.135,,-0.642,0.188,0.109,0.151,TRUE,0.167,TRUE,3,16,Amp,,0.829,N,N,N,N,N,N,N,N,N,N,N
114,E18,FALSE,AJG001-C4,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,0.901,0.754,1.076,20.208,20.074,0.135,,-0.642,0.188,0.109,0.151,TRUE,0.167,TRUE,3,15,Amp,,0.818,N,N,N,N,N,N,N,N,N,N,N
115,E19,FALSE,#3448,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.375,1.240,1.524,20.669,20.636,0.075,,-1.252,0.109,0.063,-0.459,TRUE,0.167,TRUE,3,16,Amp,,0.815,N,N,N,N,N,N,N,N,N,N,N
116,E20,FALSE,#3448,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.375,1.240,1.524,20.550,20.636,0.075,,-1.252,0.109,0.063,-0.459,TRUE,0.167,TRUE,3,17,Amp,,0.817,N,N,N,N,N,N,N,N,N,N,N
117,E21,FALSE,#3448,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.375,1.240,1.524,20.689,20.636,0.075,,-1.252,0.109,0.063,-0.459,TRUE,0.167,TRUE,3,16,Amp,,0.837,N,N,N,N,N,N,N,N,N,N,N
118,E22,FALSE,#3450,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.202,0.406,3.555,21.983,20.725,1.095,,-1.058,1.146,0.662,-0.266,TRUE,0.167,TRUE,3,17,Amp,,0.817,N,N,N,Y,N,N,N,N,N,N,N
119,E23,FALSE,#3450,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.202,0.406,3.555,20.214,20.725,1.095,,-1.058,1.146,0.662,-0.266,TRUE,0.167,TRUE,3,15,Amp,,0.823,N,N,N,Y,N,N,N,N,N,N,N
120,E24,FALSE,#3450,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.202,0.406,3.555,19.979,20.725,1.095,,-1.058,1.146,0.662,-0.266,TRUE,0.167,TRUE,3,16,Amp,,0.865,N,N,N,Y,N,N,N,N,N,N,N
121,F1,FALSE,H9,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.380,2.629,34.201,35.091,0.969,,14.051,1.021,0.590,0.000,TRUE,0.298,TRUE,3,29,Amp,,0.885,N,N,N,Y,N,N,N,N,N,N,N
122,F2,FALSE,H9,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.380,2.629,36.124,35.091,0.969,,14.051,1.021,0.590,0.000,TRUE,0.298,TRUE,3,29,Amp,,0.813,N,N,N,Y,N,N,N,N,N,N,N
123,F3,FALSE,H9,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.380,2.629,34.949,35.091,0.969,,14.051,1.021,0.590,0.000,TRUE,0.298,TRUE,3,29,Amp,,0.893,N,N,N,Y,N,N,N,N,N,N,N
124,F4,FALSE,AIW001-02,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,0.697,0.536,0.905,35.826,35.518,0.270,,14.573,0.277,0.160,0.522,TRUE,0.298,TRUE,3,30,Amp,,0.870,N,N,N,N,N,N,N,N,N,N,N
125,F5,FALSE,AIW001-02,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,0.697,0.536,0.905,35.405,35.518,0.270,,14.573,0.277,0.160,0.522,TRUE,0.298,TRUE,3,29,Amp,,0.884,N,N,N,N,N,N,N,N,N,N,N
126,F6,FALSE,AIW001-02,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,0.697,0.536,0.905,35.323,35.518,0.270,,14.573,0.277,0.160,0.522,TRUE,0.298,TRUE,3,29,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
127,F7,FALSE,AIW002-2,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.631,1.012,2.629,33.763,33.570,0.414,,13.345,0.504,0.291,-0.706,TRUE,0.298,TRUE,3,27,Amp,,0.932,N,N,N,N,N,N,N,N,N,N,N
128,F8,FALSE,AIW002-2,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.631,1.012,2.629,33.094,33.570,0.414,,13.345,0.504,0.291,-0.706,TRUE,0.298,TRUE,3,28,Amp,,0.947,N,N,N,N,N,N,N,N,N,N,N
129,F9,FALSE,AIW002-2,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.631,1.012,2.629,33.852,33.570,0.414,,13.345,0.504,0.291,-0.706,TRUE,0.298,TRUE,3,29,Amp,,0.933,N,N,N,N,N,N,N,N,N,N,N
130,F10,FALSE,AJC001-5,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.642,2.641,5.023,33.706,33.452,0.329,,12.187,0.340,0.196,-1.865,TRUE,0.298,TRUE,3,27,Amp,,0.936,N,N,N,N,N,N,N,N,N,N,N
131,F11,FALSE,AJC001-5,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.642,2.641,5.023,33.570,33.452,0.329,,12.187,0.340,0.196,-1.865,TRUE,0.298,TRUE,3,28,Amp,,0.949,N,N,N,N,N,N,N,N,N,N,N
132,F12,FALSE,AJC001-5,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.642,2.641,5.023,33.081,33.452,0.329,,12.187,0.340,0.196,-1.865,TRUE,0.298,TRUE,3,28,Amp,,0.944,N,N,N,N,N,N,N,N,N,N,N
133,F13,FALSE,AJD002-3,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.593,0.558,4.551,35.135,34.926,1.103,,13.380,1.109,0.640,-0.672,TRUE,0.298,TRUE,3,29,Amp,,0.930,N,N,N,Y,N,N,N,N,N,N,N
134,F14,FALSE,AJD002-3,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.593,0.558,4.551,35.909,34.926,1.103,,13.380,1.109,0.640,-0.672,TRUE,0.298,TRUE,3,30,Amp,,0.965,N,N,N,Y,N,N,N,N,N,N,N
135,F15,FALSE,AJD002-3,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.593,0.558,4.551,33.734,34.926,1.103,,13.380,1.109,0.640,-0.672,TRUE,0.298,TRUE,3,29,Amp,,0.920,N,N,N,Y,N,N,N,N,N,N,N
136,F16,FALSE,AJG001-C4,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.905,1.265,2.867,33.729,33.838,0.412,,13.122,0.432,0.250,-0.930,TRUE,0.298,TRUE,3,27,Amp,,0.926,N,N,N,N,N,N,N,N,N,N,N
137,F17,FALSE,AJG001-C4,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.905,1.265,2.867,33.492,33.838,0.412,,13.122,0.432,0.250,-0.930,TRUE,0.298,TRUE,3,27,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
138,F18,FALSE,AJG001-C4,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.905,1.265,2.867,34.294,33.838,0.412,,13.122,0.432,0.250,-0.930,TRUE,0.298,TRUE,3,29,Amp,,0.911,N,N,N,N,N,N,N,N,N,N,N
139,F19,FALSE,#3448,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.297,0.428,3.934,36.057,35.564,1.170,,13.676,1.173,0.677,-0.375,TRUE,0.298,TRUE,3,30,Amp,,0.860,N,N,N,Y,N,N,N,N,N,N,N
140,F20,FALSE,#3448,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.297,0.428,3.934,34.229,35.564,1.170,,13.676,1.173,0.677,-0.375,TRUE,0.298,TRUE,3,28,Amp,,0.905,N,N,N,Y,N,N,N,N,N,N,N
141,F21,FALSE,#3448,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.297,0.428,3.934,36.408,35.564,1.170,,13.676,1.173,0.677,-0.375,TRUE,0.298,TRUE,3,30,Amp,,0.832,N,N,N,Y,N,N,N,N,N,N,N
142,F22,FALSE,#3450,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.880,0.909,3.889,34.420,34.924,0.690,,13.140,0.768,0.443,-0.911,TRUE,0.298,TRUE,3,29,Amp,,0.765,Y,N,N,Y,N,N,N,N,N,N,N
143,F23,FALSE,#3450,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.880,0.909,3.889,35.711,34.924,0.690,,13.140,0.768,0.443,-0.911,TRUE,0.298,TRUE,3,30,Amp,,0.860,N,N,N,Y,N,N,N,N,N,N,N
144,F24,FALSE,#3450,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.880,0.909,3.889,34.641,34.924,0.690,,13.140,0.768,0.443,-0.911,TRUE,0.298,TRUE,3,29,Amp,,0.897,N,N,N,Y,N,N,N,N,N,N,N
145,G1,FALSE,H9,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.001,21.684,0.354,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.737,Y,N,N,N,N,N,N,N,N,N,N
146,G2,FALSE,H9,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.748,21.684,0.354,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.733,Y,N,N,N,N,N,N,N,N,N,N
147,G3,FALSE,H9,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.303,21.684,0.354,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.701,Y,N,N,N,N,N,N,N,N,N,N
148,G4,FALSE,AIW001-02,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.533,21.475,0.064,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.716,Y,N,N,N,N,N,N,N,N,N,N
149,G5,FALSE,AIW001-02,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.485,21.475,0.064,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.749,Y,N,N,N,N,N,N,N,N,N,N
150,G6,FALSE,AIW001-02,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.406,21.475,0.064,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.717,Y,N,N,N,N,N,N,N,N,N,N
151,G7,FALSE,AIW002-2,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.363,21.026,0.314,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.704,Y,N,N,N,N,N,N,N,N,N,N
152,G8,FALSE,AIW002-2,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.971,21.026,0.314,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.686,Y,N,N,N,N,N,N,N,N,N,N
153,G9,FALSE,AIW002-2,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.743,21.026,0.314,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.670,Y,N,N,N,N,N,N,N,N,N,N
154,G10,FALSE,AJC001-5,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.806,21.773,0.073,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.732,Y,N,N,N,N,N,N,N,N,N,N
155,G11,FALSE,AJC001-5,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.823,21.773,0.073,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.720,Y,N,N,N,N,N,N,N,N,N,N
156,G12,FALSE,AJC001-5,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.689,21.773,0.073,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.729,Y,N,N,N,N,N,N,N,N,N,N
157,G13,FALSE,AJD002-3,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.114,22.097,0.133,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.770,Y,N,N,N,N,N,N,N,N,N,N
158,G14,FALSE,AJD002-3,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.220,22.097,0.133,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.791,Y,N,N,N,N,N,N,N,N,N,N
159,G15,FALSE,AJD002-3,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.957,22.097,0.133,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.745,Y,N,N,N,N,N,N,N,N,N,N
160,G16,FALSE,AJG001-C4,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.136,21.233,0.122,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.767,Y,N,N,N,N,N,N,N,N,N,N
161,G17,FALSE,AJG001-C4,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.370,21.233,0.122,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.744,Y,N,N,N,N,N,N,N,N,N,N
162,G18,FALSE,AJG001-C4,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.193,21.233,0.122,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.731,Y,N,N,N,N,N,N,N,N,N,N
163,G19,FALSE,#3448,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.582,22.568,0.013,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.773,Y,N,N,N,N,N,N,N,N,N,N
164,G20,FALSE,#3448,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.557,22.568,0.013,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.754,Y,N,N,N,N,N,N,N,N,N,N
165,G21,FALSE,#3448,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.566,22.568,0.013,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.750,Y,N,N,N,N,N,N,N,N,N,N
166,G22,FALSE,#3450,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.687,22.278,0.410,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.607,Y,N,N,N,N,N,N,N,N,N,N
167,G23,FALSE,#3450,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.279,22.278,0.410,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.713,Y,N,N,N,N,N,N,N,N,N,N
168,G24,FALSE,#3450,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.867,22.278,0.410,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.705,Y,N,N,N,N,N,N,N,N,N,N
169,H1,FALSE,H9,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.682,20.396,0.286,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.869,N,N,N,N,N,N,N,N,N,N,N
170,H2,FALSE,H9,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.396,20.396,0.286,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.853,N,N,N,N,N,N,N,N,N,N,N
171,H3,FALSE,H9,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.110,20.396,0.286,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.840,N,N,N,N,N,N,N,N,N,N,N
172,H4,FALSE,AIW001-02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.375,20.415,0.059,,,,,,TRUE,0.120,TRUE,3,15,Amp,,0.875,N,N,N,N,N,N,N,N,N,N,N
173,H5,FALSE,AIW001-02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.483,20.415,0.059,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.891,N,N,N,N,N,N,N,N,N,N,N
174,H6,FALSE,AIW001-02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.387,20.415,0.059,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.859,N,N,N,N,N,N,N,N,N,N,N
