Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,L13,FALSE,GBA-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.718,1.213,2.431,25.907,25.879,0.058,,3.972,0.367,0.212,-0.780,TRUE,0.215,TRUE,3,21,Amp,,0.914,N,N,N,N,N,N,N,N,N,N,N
278,L14,FALSE,GBA-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.718,1.213,2.431,25.918,25.879,0.058,,3.972,0.367,0.212,-0.780,TRUE,0.215,TRUE,3,21,Amp,,0.912,N,N,N,N,N,N,N,N,N,N,N
279,L15,FALSE,GBA-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.718,1.213,2.431,25.812,25.879,0.058,,3.972,0.367,0.212,-0.780,TRUE,0.215,TRUE,3,20,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
280,L16,FALSE,PARKIN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.424,1.116,1.818,26.395,26.284,0.185,,4.243,0.258,0.149,-0.510,TRUE,0.215,TRUE,3,21,Amp,,0.908,N,N,N,N,N,N,N,N,N,N,N
281,L17,FALSE,PARKIN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.424,1.116,1.818,26.387,26.284,0.185,,4.243,0.258,0.149,-0.510,TRUE,0.215,TRUE,3,20,Amp,,0.905,N,N,N,N,N,N,N,N,N,N,N
282,L18,FALSE,PARKIN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.424,1.116,1.818,26.071,26.284,0.185,,4.243,0.258,0.149,-0.510,TRUE,0.215,TRUE,3,20,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
283,L19,FALSE,SYN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.205,1.061,1.369,26.547,26.631,0.091,,4.484,0.135,0.078,-0.269,TRUE,0.215,TRUE,3,21,Amp,,0.912,N,N,N,N,N,N,N,N,N,N,N
284,L20,FALSE,SYN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.205,1.061,1.369,26.618,26.631,0.091,,4.484,0.135,0.078,-0.269,TRUE,0.215,TRUE,3,22,Amp,,0.885,N,N,N,N,N,N,N,N,N,N,N
285,L21,FALSE,SYN-KO,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,1.205,1.061,1.369,26.728,26.631,0.091,,4.484,0.135,0.078,-0.269,TRUE,0.215,TRUE,3,19,Amp,,0.896,N,N,N,N,N,N,N,N,N,N,N
286,L22,FALSE,,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,,,,6.705,15.336,12.206,,,,,,TRUE,0.215,TRUE,3,6,No Amp,,0.566,Y,N,Y,Y,N,N,N,Y,N,Y,Y
287,L23,FALSE,,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,,,,23.966,15.336,12.206,,,,,,TRUE,0.215,TRUE,3,21,No Amp,,0.439,Y,N,Y,Y,Y,N,N,Y,N,Y,Y
288,L24,FALSE,,ZFP42,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,15.336,12.206,,,,,,TRUE,0.215,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
289,M1,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.747,1.393,2.191,21.014,20.824,0.174,,-1.598,0.239,0.138,-0.805,TRUE,0.167,TRUE,3,17,Amp,,0.784,Y,N,N,N,N,N,N,N,N,N,N
290,M2,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.747,1.393,2.191,20.671,20.824,0.174,,-1.598,0.239,0.138,-0.805,TRUE,0.167,TRUE,3,17,Amp,,0.773,Y,N,N,N,N,N,N,N,N,N,N
291,M3,FALSE,TD02,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.747,1.393,2.191,20.787,20.824,0.174,,-1.598,0.239,0.138,-0.805,TRUE,0.167,TRUE,3,16,Amp,,0.812,N,N,N,N,N,N,N,N,N,N,N
292,M4,FALSE,TD03,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.503,1.141,1.980,20.482,20.215,0.234,,-1.380,0.291,0.168,-0.588,TRUE,0.167,TRUE,3,16,Amp,,0.870,N,N,N,N,N,N,N,N,N,N,N
293,M5,FALSE,TD03,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.503,1.141,1.980,20.118,20.215,0.234,,-1.380,0.291,0.168,-0.588,TRUE,0.167,TRUE,3,16,Amp,,0.808,N,N,N,N,N,N,N,N,N,N,N
294,M6,FALSE,TD03,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.503,1.141,1.980,20.046,20.215,0.234,,-1.380,0.291,0.168,-0.588,TRUE,0.167,TRUE,3,15,Amp,,0.841,N,N,N,N,N,N,N,N,N,N,N
295,M7,FALSE,TD10,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.063,0.706,1.601,19.770,19.723,0.361,,-0.881,0.433,0.250,-0.088,TRUE,0.167,TRUE,3,16,Amp,,0.810,N,N,N,N,N,N,N,N,N,N,N
296,M8,FALSE,TD10,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.063,0.706,1.601,20.058,19.723,0.361,,-0.881,0.433,0.250,-0.088,TRUE,0.167,TRUE,3,15,Amp,,0.871,N,N,N,N,N,N,N,N,N,N,N
297,M9,FALSE,TD10,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.063,0.706,1.601,19.341,19.723,0.361,,-0.881,0.433,0.250,-0.088,TRUE,0.167,TRUE,3,15,Amp,,0.889,N,N,N,N,N,N,N,N,N,N,N
298,M10,FALSE,TD22,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,2.415,1.876,3.108,20.128,19.864,0.242,,-2.065,0.267,0.154,-1.272,TRUE,0.167,TRUE,3,14,Amp,,0.787,Y,N,N,N,N,N,N,N,N,N,N
299,M11,FALSE,TD22,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,2.415,1.876,3.108,19.652,19.864,0.242,,-2.065,0.267,0.154,-1.272,TRUE,0.167,TRUE,3,15,Amp,,0.827,N,N,N,N,N,N,N,N,N,N,N
300,M12,FALSE,TD22,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,2.415,1.876,3.108,19.813,19.864,0.242,,-2.065,0.267,0.154,-1.272,TRUE,0.167,TRUE,3,15,Amp,,0.807,N,N,N,N,N,N,N,N,N,N,N
301,M13,FALSE,GBA-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.782,1.238,2.565,20.137,20.281,0.129,,-1.626,0.385,0.222,-0.833,TRUE,0.167,TRUE,3,17,Amp,,0.806,N,N,N,N,N,N,N,N,N,N,N
302,M14,FALSE,GBA-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.782,1.238,2.565,20.317,20.281,0.129,,-1.626,0.385,0.222,-0.833,TRUE,0.167,TRUE,3,16,Amp,,0.784,Y,N,N,N,N,N,N,N,N,N,N
303,M15,FALSE,GBA-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.782,1.238,2.565,20.388,20.281,0.129,,-1.626,0.385,0.222,-0.833,TRUE,0.167,TRUE,3,16,Amp,,0.842,N,N,N,N,N,N,N,N,N,N,N
304,M16,FALSE,PARKIN-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.555,1.257,1.924,20.767,20.612,0.134,,-1.430,0.225,0.130,-0.637,TRUE,0.167,TRUE,3,17,Amp,,0.826,N,N,N,N,N,N,N,N,N,N,N
305,M17,FALSE,PARKIN-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.555,1.257,1.924,20.537,20.612,0.134,,-1.430,0.225,0.130,-0.637,TRUE,0.167,TRUE,3,17,Amp,,0.843,N,N,N,N,N,N,N,N,N,N,N
306,M18,FALSE,PARKIN-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.555,1.257,1.924,20.532,20.612,0.134,,-1.430,0.225,0.130,-0.637,TRUE,0.167,TRUE,3,16,Amp,,0.839,N,N,N,N,N,N,N,N,N,N,N
307,M19,FALSE,SYN-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.106,0.853,1.436,20.948,21.208,0.257,,-0.939,0.275,0.159,-0.146,TRUE,0.167,TRUE,3,17,Amp,,0.848,N,N,N,N,N,N,N,N,N,N,N
308,M20,FALSE,SYN-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.106,0.853,1.436,21.216,21.208,0.257,,-0.939,0.275,0.159,-0.146,TRUE,0.167,TRUE,3,17,Amp,,0.817,N,N,N,N,N,N,N,N,N,N,N
309,M21,FALSE,SYN-KO,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,1.106,0.853,1.436,21.461,21.208,0.257,,-0.939,0.275,0.159,-0.146,TRUE,0.167,TRUE,3,16,Amp,,0.841,N,N,N,N,N,N,N,N,N,N,N
310,M22,FALSE,,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,32.281,,,,,,,TRUE,0.167,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
311,M23,FALSE,,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,,,,32.281,32.281,,,,,,,TRUE,0.167,TRUE,3,28,No Amp,,0.000,Y,N,Y,N,Y,N,N,Y,Y,Y,Y
312,M24,FALSE,,OCT3/4,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,32.281,,,,,,,TRUE,0.167,TRUE,3,11,No Amp,,0.000,Y,N,N,N,N,Y,N,Y,N,Y,N
313,N1,FALSE,TD02,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.107,1.746,2.544,35.517,35.398,0.112,,12.976,0.199,0.115,-1.075,TRUE,0.298,TRUE,3,30,Amp,,0.864,N,N,N,N,N,N,N,N,N,N,N
314,N2,FALSE,TD02,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.107,1.746,2.544,35.294,35.398,0.112,,12.976,0.199,0.115,-1.075,TRUE,0.298,TRUE,3,28,Amp,,0.870,N,N,N,N,N,N,N,N,N,N,N
315,N3,FALSE,TD02,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.107,1.746,2.544,35.383,35.398,0.112,,12.976,0.199,0.115,-1.075,TRUE,0.298,TRUE,3,29,Amp,,0.869,N,N,N,N,N,N,N,N,N,N,N
316,N4,FALSE,TD03,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.782,1.401,5.525,33.773,34.171,0.704,,12.575,0.725,0.419,-1.476,TRUE,0.298,TRUE,3,27,Amp,,0.921,N,N,N,Y,N,N,N,N,N,N,N
317,N5,FALSE,TD03,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.782,1.401,5.525,33.756,34.171,0.704,,12.575,0.725,0.419,-1.476,TRUE,0.298,TRUE,3,27,Amp,,0.919,N,N,N,Y,N,N,N,N,N,N,N
318,N6,FALSE,TD03,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.782,1.401,5.525,34.983,34.171,0.704,,12.575,0.725,0.419,-1.476,TRUE,0.298,TRUE,3,29,Amp,,0.892,N,N,N,Y,N,N,Y,N,N,N,N
319,N7,FALSE,TD10,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.575,0.781,3.179,34.173,34.000,0.703,,13.396,0.742,0.428,-0.656,TRUE,0.298,TRUE,3,29,Amp,,0.927,N,N,N,Y,N,N,N,N,N,N,N
320,N8,FALSE,TD10,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.575,0.781,3.179,34.599,34.000,0.703,,13.396,0.742,0.428,-0.656,TRUE,0.298,TRUE,3,29,Amp,,0.929,N,N,N,Y,N,N,N,N,N,N,N
321,N9,FALSE,TD10,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,1.575,0.781,3.179,33.227,34.000,0.703,,13.396,0.742,0.428,-0.656,TRUE,0.298,TRUE,3,27,Amp,,0.936,N,N,N,Y,N,N,N,N,N,N,N
322,N10,FALSE,TD22,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.892,1.819,4.600,34.985,34.448,0.477,,12.519,0.490,0.283,-1.532,TRUE,0.298,TRUE,3,29,Amp,,0.917,N,N,N,N,N,N,N,N,N,N,N
323,N11,FALSE,TD22,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.892,1.819,4.600,34.071,34.448,0.477,,12.519,0.490,0.283,-1.532,TRUE,0.298,TRUE,3,27,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
324,N12,FALSE,TD22,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,2.892,1.819,4.600,34.288,34.448,0.477,,12.519,0.490,0.283,-1.532,TRUE,0.298,TRUE,3,29,Amp,,0.928,N,N,N,N,N,N,N,N,N,N,N
325,N13,FALSE,GBA-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.032,1.421,6.469,33.985,34.358,0.714,,12.451,0.801,0.462,-1.600,TRUE,0.298,TRUE,3,29,Amp,,0.894,N,N,N,Y,N,N,N,N,N,N,N
326,N14,FALSE,GBA-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.032,1.421,6.469,33.908,34.358,0.714,,12.451,0.801,0.462,-1.600,TRUE,0.298,TRUE,3,29,Amp,,0.921,N,N,N,Y,N,N,N,N,N,N,N
327,N15,FALSE,GBA-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.032,1.421,6.469,35.181,34.358,0.714,,12.451,0.801,0.462,-1.600,TRUE,0.298,TRUE,3,29,Amp,,0.887,N,N,N,Y,N,N,N,N,N,N,N
328,N16,FALSE,PARKIN-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.025,1.916,4.776,34.771,34.496,0.448,,12.455,0.483,0.279,-1.597,TRUE,0.298,TRUE,3,27,Amp,,0.888,N,N,N,N,N,N,N,N,N,N,N
329,N17,FALSE,PARKIN-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.025,1.916,4.776,33.980,34.496,0.448,,12.455,0.483,0.279,-1.597,TRUE,0.298,TRUE,3,29,Amp,,0.913,N,N,N,N,N,N,N,N,N,N,N
330,N18,FALSE,PARKIN-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.025,1.916,4.776,34.739,34.496,0.448,,12.455,0.483,0.279,-1.597,TRUE,0.298,TRUE,3,28,Amp,,0.918,N,N,N,N,N,N,N,N,N,N,N
331,N19,FALSE,SYN-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.001,2.515,3.581,34.517,34.613,0.158,,12.466,0.187,0.108,-1.585,TRUE,0.298,TRUE,3,30,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
332,N20,FALSE,SYN-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.001,2.515,3.581,34.526,34.613,0.158,,12.466,0.187,0.108,-1.585,TRUE,0.298,TRUE,3,28,Amp,,0.891,N,N,N,N,N,N,N,N,N,N,N
333,N21,FALSE,SYN-KO,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,3.001,2.515,3.581,34.796,34.613,0.158,,12.466,0.187,0.108,-1.585,TRUE,0.298,TRUE,3,29,Amp,,0.892,N,N,N,N,N,N,N,N,N,N,N
334,N22,FALSE,,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,30.111,,,,,,,TRUE,0.298,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
335,N23,FALSE,,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,,,,30.111,30.111,,,,,,,TRUE,0.298,TRUE,3,27,No Amp,,0.000,Y,N,Y,N,N,N,N,Y,N,Y,N
336,N24,FALSE,,KLF4,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,30.111,,,,,,,TRUE,0.298,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,N
337,O1,FALSE,TD02,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,23.130,23.078,0.167,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.741,Y,N,N,N,N,N,N,N,N,N,N
338,O2,FALSE,TD02,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,23.212,23.078,0.167,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.768,Y,N,N,N,N,N,N,N,N,N,N
339,O3,FALSE,TD02,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.891,23.078,0.167,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.781,Y,N,N,N,N,N,N,N,N,N,N
340,O4,FALSE,TD03,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.389,22.132,0.224,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.771,Y,N,N,N,N,N,N,N,N,N,N
341,O5,FALSE,TD03,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.023,22.132,0.224,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.753,Y,N,N,N,N,N,N,N,N,N,N
342,O6,FALSE,TD03,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.982,22.132,0.224,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.746,Y,N,N,N,N,N,N,N,N,N,N
343,O7,FALSE,TD10,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.302,21.269,0.081,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.757,Y,N,N,N,N,N,N,N,N,N,N
344,O8,FALSE,TD10,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.328,21.269,0.081,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.743,Y,N,N,N,N,N,N,N,N,N,N
345,O9,FALSE,TD10,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.176,21.269,0.081,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.724,Y,N,N,N,N,N,N,N,N,N,N
346,O10,FALSE,TD22,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.516,22.611,0.123,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.779,Y,N,N,N,N,N,N,N,N,N,N
347,O11,FALSE,TD22,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.751,22.611,0.123,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.812,N,N,N,N,N,N,N,N,N,N,N
348,O12,FALSE,TD22,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.566,22.611,0.123,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.806,N,N,N,N,N,N,N,N,N,N,N
349,O13,FALSE,GBA-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.957,22.542,0.388,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.750,Y,N,N,N,N,N,N,N,N,N,N
350,O14,FALSE,GBA-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.483,22.542,0.388,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.791,Y,N,N,N,N,N,N,N,N,N,N
351,O15,FALSE,GBA-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.187,22.542,0.388,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.765,Y,N,N,N,N,N,N,N,N,N,N
352,O16,FALSE,PARKIN-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.693,22.606,0.089,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.766,Y,N,N,N,N,N,N,N,N,N,N
353,O17,FALSE,PARKIN-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.516,22.606,0.089,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.747,Y,N,N,N,N,N,N,N,N,N,N
354,O18,FALSE,PARKIN-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.610,22.606,0.089,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.763,Y,N,N,N,N,N,N,N,N,N,N
355,O19,FALSE,SYN-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.666,22.812,0.138,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.792,Y,N,N,N,N,N,N,N,N,N,N
356,O20,FALSE,SYN-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.941,22.812,0.138,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.776,Y,N,N,N,N,N,N,N,N,N,N
357,O21,FALSE,SYN-KO,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.831,22.812,0.138,,,,,,TRUE,0.115,TRUE,3,18,Amp,,0.770,Y,N,N,N,N,N,N,N,N,N,N
358,O22,FALSE,,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,30.581,22.498,11.431,,,,,,TRUE,0.115,TRUE,3,29,No Amp,,0.000,Y,N,Y,Y,N,N,N,Y,N,Y,Y
359,O23,FALSE,,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,14.416,22.498,11.431,,,,,,TRUE,0.115,TRUE,3,12,No Amp,,0.428,Y,N,Y,Y,N,N,N,Y,N,N,Y
360,O24,FALSE,,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,22.498,11.431,,,,,,TRUE,0.115,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,Y,Y,Y
361,P1,FALSE,TD02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.854,21.766,0.161,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.870,N,N,N,N,N,N,N,N,N,N,N
362,P2,FALSE,TD02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.864,21.766,0.161,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.904,N,N,N,N,N,N,N,N,N,N,N
363,P3,FALSE,TD02,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.579,21.766,0.161,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.895,N,N,N,N,N,N,N,N,N,N,N
364,P4,FALSE,TD03,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.159,21.060,0.103,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.893,N,N,N,N,N,N,N,N,N,N,N
365,P5,FALSE,TD03,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.068,21.060,0.103,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.906,N,N,N,N,N,N,N,N,N,N,N
366,P6,FALSE,TD03,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.954,21.060,0.103,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.873,N,N,N,N,N,N,N,N,N,N,N
367,P7,FALSE,TD10,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.188,19.939,0.328,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.907,N,N,N,N,N,N,N,N,N,N,N
368,P8,FALSE,TD10,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.061,19.939,0.328,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.873,N,N,N,N,N,N,N,N,N,N,N
369,P9,FALSE,TD10,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.568,19.939,0.328,,,,,,TRUE,0.120,TRUE,3,15,Amp,,0.902,N,N,N,N,N,N,N,N,N,N,N
370,P10,FALSE,TD22,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.356,21.247,0.099,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.926,N,N,N,N,N,N,N,N,N,N,N
371,P11,FALSE,TD22,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.163,21.247,0.099,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.957,N,N,N,N,N,N,N,N,N,N,N
372,P12,FALSE,TD22,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.220,21.247,0.099,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.920,N,N,N,N,N,N,N,N,N,N,N
373,P13,FALSE,GBA-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.631,21.271,0.335,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.887,N,N,N,N,N,N,N,N,N,N,N
374,P14,FALSE,GBA-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.215,21.271,0.335,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
375,P15,FALSE,GBA-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.968,21.271,0.335,,,,,,TRUE,0.120,TRUE,3,16,Amp,,0.945,N,N,N,N,N,N,N,N,N,N,N
376,P16,FALSE,PARKIN-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.569,21.477,0.239,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.888,N,N,N,N,N,N,N,N,N,N,N
377,P17,FALSE,PARKIN-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.657,21.477,0.239,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
378,P18,FALSE,PARKIN-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.206,21.477,0.239,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.887,N,N,N,N,N,N,N,N,N,N,N
379,P19,FALSE,SYN-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.485,21.482,0.022,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.899,N,N,N,N,N,N,N,N,N,N,N
380,P20,FALSE,SYN-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.502,21.482,0.022,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.919,N,N,N,N,N,N,N,N,N,N,N
381,P21,FALSE,SYN-KO,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.459,21.482,0.022,,,,,,TRUE,0.120,TRUE,3,17,Amp,,0.910,N,N,N,N,N,N,N,N,N,N,N
382,P22,FALSE,,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,24.225,,,,,,,TRUE,0.120,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
383,P23,FALSE,,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,Undetermined,24.225,,,,,,,TRUE,0.120,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,Y,N,Y,Y
384,P24,FALSE,,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.225,24.225,,,,,,,TRUE,0.120,TRUE,3,23,No Amp,,0.438,Y,N,Y,N,N,N,N,Y,N,Y,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,"ACTB, GAPDH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
